outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element
1,3,"[28, 49, 49]",2,CURRENT_icmp_recv,8,10
2,3,"[48, 49, 49]",2,CURRENT_icmp_recv,9,11
3,3,"[48, 49, 98]",2,CURRENT_icmp_recv,10,12
4,3,"[40, 40, 82]",2,CURRENT_icmp_sent,12,14
5,3,"[40, 40, 42]",2,CURRENT_icmp_sent,13,15
6,3,"[16, 19, 70]",2,CURRENT_icmp_sent,16,18
7,3,"[21, 21, 40]",3,CURRENT_icmp_recv,5,7
8,3,"[21, 21, 22]",3,CURRENT_icmp_recv,6,8
9,3,"[21, 22, 47]",3,CURRENT_icmp_recv,7,9
10,3,"[48, 50, 111]",3,CURRENT_icmp_recv,10,12
11,3,"[40, 42, 126]",3,CURRENT_icmp_recv,17,19
12,3,"[40, 40, 139]",3,CURRENT_icmp_recv,22,24
13,3,"[40, 40, 76]",3,CURRENT_icmp_recv,23,25
14,3,"[22, 42, 43]",3,CURRENT_icmp_sent,8,10
15,3,"[24, 42, 43]",3,CURRENT_icmp_sent,9,11
16,3,"[20, 22, 84]",3,CURRENT_icmp_sent,16,18
17,3,"[33, 77, 77]",3,CURRENT_icmp_sent,25,27
18,3,"[54, 77, 77]",3,CURRENT_icmp_sent,26,28
19,3,"[37, 66, 66]",3,CURRENT_icmp_sent,30,32
20,3,"[43, 89, 89]",4,CURRENT_icmp_recv,13,15
21,3,"[22, 51, 52]",4,CURRENT_icmp_recv,16,18
22,3,"[32, 34, 99]",4,CURRENT_icmp_recv,26,28
23,3,"[32, 34, 69]",4,CURRENT_icmp_recv,27,29
24,3,"[18, 18, 37]",4,CURRENT_icmp_sent,4,6
25,3,"[11, 11, 19]",4,CURRENT_icmp_sent,8,10
26,3,"[28, 28, 43]",4,CURRENT_icmp_sent,20,22
27,3,"[28, 30, 67]",4,CURRENT_icmp_sent,22,24
28,3,"[22, 67, 68]",4,CURRENT_icmp_sent,24,26
29,3,"[22, 22, 68]",4,CURRENT_icmp_sent,25,27
30,3,"[85, 85, 91]",6,CURRENT_icmp_recv,23,25
31,3,"[75, 85, 85]",6,CURRENT_icmp_recv,24,26
32,3,"[8, 11, 11]",6,CURRENT_icmp_sent,4,6
33,3,"[9, 11, 11]",6,CURRENT_icmp_sent,5,7
34,3,"[9, 11, 11]",6,CURRENT_icmp_sent,6,8
35,3,"[19, 45, 46]",6,CURRENT_icmp_sent,13,15
36,3,"[35, 35, 40]",6,CURRENT_icmp_sent,29,31
37,3,"[4, 4, 7]",8,CURRENT_icmp_recv,6,8
38,3,"[4, 4, 8]",8,CURRENT_icmp_recv,7,9
39,3,"[31, 32, 56]",8,CURRENT_icmp_recv,18,20
40,3,"[44, 59, 59]",8,CURRENT_icmp_recv,27,29
41,3,"[52, 59, 59]",8,CURRENT_icmp_recv,28,30
42,3,"[5, 5, 9]",8,CURRENT_icmp_sent,3,5
43,3,"[4, 5, 5]",8,CURRENT_icmp_sent,6,8
44,3,"[12, 33, 34]",8,CURRENT_icmp_sent,12,14
45,3,"[13, 34, 34]",8,CURRENT_icmp_sent,21,23
46,3,"[29, 34, 34]",8,CURRENT_icmp_sent,22,24
47,3,"[23, 23, 41]",8,CURRENT_icmp_sent,31,33
48,3,"[23, 23, 32]",8,CURRENT_icmp_sent,32,34
49,3,"[8, 13, 13]",9,CURRENT_icmp_recv,7,9
50,3,"[8, 13, 13]",9,CURRENT_icmp_recv,8,10
51,3,"[24, 33, 33]",9,CURRENT_icmp_recv,18,20
52,3,"[40, 45, 754]",9,CURRENT_icmp_recv,24,26
53,3,"[4, 4, 9]",9,CURRENT_icmp_sent,4,6
54,3,"[4, 4, 7]",9,CURRENT_icmp_sent,6,8
55,3,"[14, 21, 21]",9,CURRENT_icmp_sent,19,21
56,3,"[21, 21, 34]",9,CURRENT_icmp_sent,20,22
57,3,"[27, 38, 729]",9,CURRENT_icmp_sent,24,26
58,3,"[7, 8, 37]",9,CURRENT_icmp_sent,29,31
59,3,"[4, 4, 5]",10,CURRENT_icmp_recv,5,7
60,3,"[33, 33, 50]",10,CURRENT_icmp_recv,26,28
61,3,"[29, 33, 33]",10,CURRENT_icmp_recv,27,29
62,3,"[4, 4, 5]",10,CURRENT_icmp_sent,5,7
63,3,"[3, 3, 4]",10,CURRENT_icmp_sent,9,11
64,3,"[3, 19, 19]",10,CURRENT_icmp_sent,11,13
65,3,"[13, 19, 19]",10,CURRENT_icmp_sent,12,14
66,3,"[8, 10, 44]",10,CURRENT_icmp_sent,15,17
67,3,"[21, 21, 24]",10,CURRENT_icmp_sent,19,21
68,3,"[5, 18, 18]",10,CURRENT_icmp_sent,32,34
69,3,"[20, 24, 24]",11,CURRENT_icmp_recv,6,8
70,3,"[27, 30, 111]",11,CURRENT_icmp_recv,17,19
71,3,"[58, 79, 79]",11,CURRENT_icmp_recv,22,24
72,3,"[79, 79, 134]",11,CURRENT_icmp_recv,23,25
73,3,"[16, 18, 59]",11,CURRENT_icmp_recv,32,34
74,3,"[16, 16, 18]",11,CURRENT_icmp_recv,33,35
75,3,"[18, 19, 35]",11,CURRENT_icmp_sent,16,18
76,3,"[18, 19, 99]",11,CURRENT_icmp_sent,17,19
77,3,"[15, 76, 78]",11,CURRENT_icmp_sent,25,27
78,3,"[15, 74, 76]",11,CURRENT_icmp_sent,26,28
79,3,"[4, 4, 8]",12,CURRENT_icmp_recv,6,8
80,3,"[4, 4, 5]",12,CURRENT_icmp_recv,7,9
81,3,"[4, 5, 5]",12,CURRENT_icmp_recv,8,10
82,3,"[5, 5, 24]",12,CURRENT_icmp_recv,9,11
83,3,"[5, 6, 24]",12,CURRENT_icmp_recv,10,12
84,3,"[5, 6, 24]",12,CURRENT_icmp_recv,11,13
85,3,"[5, 6, 27]",12,CURRENT_icmp_recv,12,14
86,3,"[16, 16, 23]",12,CURRENT_icmp_recv,20,22
87,3,"[16, 16, 46]",12,CURRENT_icmp_recv,21,23
88,3,"[6, 7, 46]",12,CURRENT_icmp_recv,23,25
89,3,"[6, 7, 52]",12,CURRENT_icmp_recv,24,26
90,3,"[3, 3, 6]",12,CURRENT_icmp_recv,29,31
91,3,"[3, 3, 31]",12,CURRENT_icmp_recv,30,32
92,3,"[3, 31, 31]",12,CURRENT_icmp_recv,31,33
93,3,"[31, 31, 34]",12,CURRENT_icmp_recv,32,34
94,3,"[4, 5, 5]",12,CURRENT_icmp_sent,4,6
95,3,"[4, 4, 5]",12,CURRENT_icmp_sent,8,10
96,3,"[5, 5, 17]",12,CURRENT_icmp_sent,11,13
97,3,"[5, 5, 22]",12,CURRENT_icmp_sent,12,14
98,3,"[5, 22, 22]",12,CURRENT_icmp_sent,13,15
99,3,"[4, 22, 22]",12,CURRENT_icmp_sent,14,16
100,3,"[4, 8, 8]",12,CURRENT_icmp_sent,16,18
101,3,"[8, 8, 12]",12,CURRENT_icmp_sent,17,19
102,3,"[13, 13, 29]",12,CURRENT_icmp_sent,25,27
103,3,"[4, 5, 25]",12,CURRENT_icmp_sent,30,32
104,3,"[23, 25, 25]",12,CURRENT_icmp_sent,32,34
105,3,"[47, 74, 75]",13,CURRENT_icmp_recv,15,17
106,3,"[107, 108, 148]",13,CURRENT_icmp_recv,31,33
107,3,"[5, 5, 7]",13,CURRENT_icmp_sent,6,8
108,3,"[5, 5, 22]",13,CURRENT_icmp_sent,7,9
109,3,"[35, 37, 129]",13,CURRENT_icmp_sent,19,21
110,3,"[30, 33, 100]",13,CURRENT_icmp_sent,26,28
111,3,"[30, 33, 100]",13,CURRENT_icmp_sent,27,29
112,3,"[23, 24, 54]",14,CURRENT_icmp_recv,9,11
113,3,"[92, 94, 146]",14,CURRENT_icmp_recv,15,17
114,3,"[65, 65, 97]",14,CURRENT_icmp_recv,21,23
115,3,"[64, 65, 65]",14,CURRENT_icmp_recv,22,24
116,3,"[64, 65, 419]",14,CURRENT_icmp_recv,23,25
117,3,"[97, 115, 419]",14,CURRENT_icmp_recv,25,27
118,3,"[74, 75, 110]",14,CURRENT_icmp_recv,30,32
119,3,"[28, 28, 47]",14,CURRENT_icmp_sent,21,23
120,3,"[28, 28, 29]",14,CURRENT_icmp_sent,22,24
121,3,"[28, 29, 388]",14,CURRENT_icmp_sent,23,25
122,3,"[62, 75, 388]",14,CURRENT_icmp_sent,25,27
123,3,"[13, 29, 30]",15,CURRENT_icmp_recv,10,12
124,3,"[32, 51, 51]",15,CURRENT_icmp_recv,18,20
125,3,"[41, 51, 51]",15,CURRENT_icmp_recv,20,22
126,3,"[31, 34, 116]",15,CURRENT_icmp_recv,23,25
127,3,"[21, 21, 34]",15,CURRENT_icmp_recv,29,31
128,3,"[21, 21, 73]",15,CURRENT_icmp_recv,30,32
129,3,"[21, 71, 73]",15,CURRENT_icmp_recv,31,33
130,3,"[71, 73, 371]",15,CURRENT_icmp_recv,32,34
131,3,"[4, 4, 5]",15,CURRENT_icmp_sent,3,5
132,3,"[3, 4, 4]",15,CURRENT_icmp_sent,6,8
133,3,"[4, 4, 8]",15,CURRENT_icmp_sent,8,10
134,3,"[27, 27, 28]",15,CURRENT_icmp_sent,27,29
135,3,"[6, 33, 33]",15,CURRENT_icmp_sent,31,33
136,3,"[33, 33, 343]",15,CURRENT_icmp_sent,32,34
137,3,"[9, 9, 11]",16,CURRENT_icmp_recv,3,5
138,3,"[8, 9, 9]",16,CURRENT_icmp_recv,5,7
139,3,"[42, 43, 97]",16,CURRENT_icmp_recv,12,14
140,3,"[44, 44, 80]",16,CURRENT_icmp_recv,20,22
141,3,"[44, 44, 45]",16,CURRENT_icmp_recv,21,23
142,3,"[41, 42, 96]",16,CURRENT_icmp_recv,25,27
143,3,"[41, 42, 84]",16,CURRENT_icmp_recv,26,28
144,3,"[41, 82, 84]",16,CURRENT_icmp_recv,27,29
145,3,"[45, 47, 134]",16,CURRENT_icmp_recv,33,35
146,3,"[3, 3, 6]",16,CURRENT_icmp_sent,5,7
147,3,"[3, 3, 5]",16,CURRENT_icmp_sent,6,8
148,3,"[3, 3, 5]",16,CURRENT_icmp_sent,7,9
149,3,"[3, 5, 5]",16,CURRENT_icmp_sent,8,10
150,3,"[14, 21, 21]",16,CURRENT_icmp_sent,11,13
151,3,"[21, 21, 52]",16,CURRENT_icmp_sent,12,14
152,3,"[18, 18, 26]",16,CURRENT_icmp_sent,21,23
153,3,"[18, 26, 26]",16,CURRENT_icmp_sent,22,24
154,3,"[27, 29, 72]",16,CURRENT_icmp_sent,33,35
155,3,"[5, 5, 13]",17,CURRENT_icmp_recv,6,8
156,3,"[17, 54, 56]",17,CURRENT_icmp_recv,20,22
157,3,"[7, 26, 27]",17,CURRENT_icmp_sent,15,17
158,3,"[11, 14, 68]",17,CURRENT_icmp_sent,25,27
159,3,"[2, 2, 6]",18,CURRENT_icmp_recv,5,7
160,3,"[2, 2, 6]",18,CURRENT_icmp_recv,6,8
161,3,"[2, 2, 8]",18,CURRENT_icmp_recv,7,9
162,3,"[11, 11, 15]",18,CURRENT_icmp_recv,11,13
163,3,"[8, 9, 37]",18,CURRENT_icmp_recv,21,23
164,3,"[8, 9, 9]",18,CURRENT_icmp_recv,22,24
165,3,"[25, 25, 30]",18,CURRENT_icmp_recv,29,31
166,3,"[3, 3, 5]",18,CURRENT_icmp_sent,5,7
167,3,"[3, 3, 9]",18,CURRENT_icmp_sent,7,9
168,3,"[13, 13, 18]",18,CURRENT_icmp_sent,10,12
169,3,"[13, 18, 18]",18,CURRENT_icmp_sent,11,13
170,3,"[4, 4, 6]",18,CURRENT_icmp_sent,15,17
171,3,"[4, 4, 31]",18,CURRENT_icmp_sent,16,18
172,3,"[4, 30, 31]",18,CURRENT_icmp_sent,17,19
173,3,"[12, 17, 17]",18,CURRENT_icmp_sent,26,28
174,3,"[9, 17, 17]",18,CURRENT_icmp_sent,27,29
175,3,"[9, 10, 26]",18,CURRENT_icmp_sent,29,31
176,3,"[12, 12, 14]",18,CURRENT_icmp_sent,32,34
177,3,"[6, 7, 7]",19,CURRENT_icmp_recv,7,9
178,3,"[6, 7, 42]",19,CURRENT_icmp_recv,8,10
179,3,"[54, 54, 76]",19,CURRENT_icmp_recv,26,28
180,3,"[36, 54, 54]",19,CURRENT_icmp_recv,27,29
181,3,"[43, 49, 49]",19,CURRENT_icmp_recv,33,35
182,3,"[5, 5, 6]",19,CURRENT_icmp_sent,3,5
183,3,"[5, 5, 6]",19,CURRENT_icmp_sent,7,9
184,3,"[6, 7, 24]",19,CURRENT_icmp_sent,12,14
185,3,"[24, 24, 86]",19,CURRENT_icmp_sent,14,16
186,3,"[26, 26, 35]",19,CURRENT_icmp_sent,27,29
187,3,"[26, 26, 35]",19,CURRENT_icmp_sent,28,30
188,3,"[20, 26, 26]",19,CURRENT_icmp_sent,29,31
189,3,"[7, 7, 10]",20,CURRENT_icmp_recv,5,7
190,3,"[5, 7, 7]",20,CURRENT_icmp_recv,6,8
191,3,"[48, 48, 68]",20,CURRENT_icmp_recv,11,13
192,3,"[38, 39, 71]",20,CURRENT_icmp_recv,20,22
193,3,"[38, 39, 39]",20,CURRENT_icmp_recv,21,23
194,3,"[39, 39, 96]",20,CURRENT_icmp_recv,22,24
195,3,"[73, 86, 352]",20,CURRENT_icmp_recv,27,29
196,3,"[72, 86, 352]",20,CURRENT_icmp_recv,28,30
197,3,"[30, 30, 48]",20,CURRENT_icmp_recv,33,35
198,3,"[6, 6, 9]",20,CURRENT_icmp_sent,5,7
199,3,"[5, 6, 6]",20,CURRENT_icmp_sent,6,8
200,3,"[5, 6, 6]",20,CURRENT_icmp_sent,7,9
201,3,"[5, 6, 82]",20,CURRENT_icmp_sent,8,10
202,3,"[40, 41, 61]",20,CURRENT_icmp_sent,13,15
203,3,"[27, 30, 80]",20,CURRENT_icmp_sent,22,24
204,3,"[42, 50, 302]",20,CURRENT_icmp_sent,27,29
205,3,"[25, 25, 51]",21,CURRENT_icmp_recv,11,13
206,3,"[25, 26, 87]",21,CURRENT_icmp_recv,13,15
207,3,"[35, 37, 92]",21,CURRENT_icmp_recv,19,21
208,3,"[32, 36, 109]",21,CURRENT_icmp_recv,25,27
209,3,"[36, 51, 353]",21,CURRENT_icmp_recv,27,29
210,3,"[51, 55, 353]",21,CURRENT_icmp_recv,28,30
211,3,"[35, 37, 72]",21,CURRENT_icmp_sent,16,18
212,3,"[35, 72, 73]",21,CURRENT_icmp_sent,17,19
213,3,"[24, 38, 318]",21,CURRENT_icmp_sent,27,29
214,3,"[36, 38, 318]",21,CURRENT_icmp_sent,28,30
215,3,"[44, 45, 94]",22,CURRENT_icmp_recv,12,14
216,3,"[37, 57, 57]",22,CURRENT_icmp_recv,15,17
217,3,"[46, 92, 92]",22,CURRENT_icmp_recv,29,31
218,3,"[14, 15, 15]",22,CURRENT_icmp_sent,6,8
219,3,"[15, 15, 35]",22,CURRENT_icmp_sent,7,9
220,3,"[37, 38, 77]",22,CURRENT_icmp_sent,10,12
221,3,"[10, 11, 11]",23,CURRENT_icmp_sent,7,9
222,3,"[11, 11, 25]",23,CURRENT_icmp_sent,8,10
223,3,"[21, 21, 25]",23,CURRENT_icmp_sent,32,34
224,3,"[20, 21, 21]",23,CURRENT_icmp_sent,33,35
225,3,"[9, 12, 12]",24,CURRENT_icmp_recv,6,8
226,3,"[12, 12, 18]",24,CURRENT_icmp_recv,7,9
227,3,"[47, 52, 188]",24,CURRENT_icmp_recv,12,14
228,3,"[35, 47, 47]",24,CURRENT_icmp_recv,24,26
229,3,"[47, 47, 106]",24,CURRENT_icmp_recv,25,27
230,3,"[8, 8, 13]",24,CURRENT_icmp_sent,3,5
231,3,"[7, 8, 8]",24,CURRENT_icmp_sent,4,6
232,3,"[7, 7, 8]",24,CURRENT_icmp_sent,5,7
