NODE,DATA TYPE,outlier_no
10,CURRENT_icmp_recv,8
11,CURRENT_icmp_recv,1
11,CURRENT_icmp_sent,4
12,CURRENT_icmp_sent,9
2,CURRENT_icmp_recv,8
2,CURRENT_icmp_sent,2
3,CURRENT_icmp_recv,4
3,CURRENT_icmp_sent,4
4,CURRENT_icmp_recv,7
4,CURRENT_icmp_sent,17
6,CURRENT_icmp_recv,2
6,CURRENT_icmp_sent,2
8,CURRENT_icmp_sent,3
9,CURRENT_icmp_sent,13
