NODE,DATA TYPE,outlier_no
10,CURRENT_icmp_recv,12
10,CURRENT_icmp_sent,1
11,CURRENT_icmp_recv,1
11,CURRENT_icmp_sent,5
12,CURRENT_icmp_recv,3
12,CURRENT_icmp_sent,9
13,CURRENT_icmp_recv,2
2,CURRENT_icmp_recv,17
2,CURRENT_icmp_sent,2
3,CURRENT_icmp_recv,8
3,CURRENT_icmp_sent,20
4,CURRENT_icmp_recv,20
4,CURRENT_icmp_sent,22
6,CURRENT_icmp_recv,4
6,CURRENT_icmp_sent,4
8,CURRENT_icmp_recv,2
8,CURRENT_icmp_sent,4
9,CURRENT_icmp_recv,6
9,CURRENT_icmp_sent,23
