outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element
1,3,"[28, 49, 49]",2,CURRENT_icmp_recv,8,10
2,3,"[48, 49, 49]",2,CURRENT_icmp_recv,9,11
3,3,"[40, 40, 82]",2,CURRENT_icmp_sent,12,14
4,3,"[40, 40, 42]",2,CURRENT_icmp_sent,13,15
5,3,"[21, 21, 40]",3,CURRENT_icmp_recv,5,7
6,3,"[21, 21, 22]",3,CURRENT_icmp_recv,6,8
7,3,"[40, 40, 139]",3,CURRENT_icmp_recv,22,24
8,3,"[40, 40, 76]",3,CURRENT_icmp_recv,23,25
9,3,"[33, 77, 77]",3,CURRENT_icmp_sent,25,27
10,3,"[54, 77, 77]",3,CURRENT_icmp_sent,26,28
11,3,"[37, 66, 66]",3,CURRENT_icmp_sent,30,32
12,3,"[43, 89, 89]",4,CURRENT_icmp_recv,13,15
13,3,"[18, 18, 37]",4,CURRENT_icmp_sent,4,6
14,3,"[11, 11, 19]",4,CURRENT_icmp_sent,8,10
15,3,"[28, 28, 43]",4,CURRENT_icmp_sent,20,22
16,3,"[22, 22, 68]",4,CURRENT_icmp_sent,25,27
17,3,"[85, 85, 91]",6,CURRENT_icmp_recv,23,25
18,3,"[75, 85, 85]",6,CURRENT_icmp_recv,24,26
19,3,"[8, 11, 11]",6,CURRENT_icmp_sent,4,6
20,3,"[9, 11, 11]",6,CURRENT_icmp_sent,5,7
21,3,"[9, 11, 11]",6,CURRENT_icmp_sent,6,8
22,3,"[35, 35, 40]",6,CURRENT_icmp_sent,29,31
23,3,"[4, 4, 7]",8,CURRENT_icmp_recv,6,8
24,3,"[4, 4, 8]",8,CURRENT_icmp_recv,7,9
25,3,"[44, 59, 59]",8,CURRENT_icmp_recv,27,29
26,3,"[52, 59, 59]",8,CURRENT_icmp_recv,28,30
27,3,"[5, 5, 9]",8,CURRENT_icmp_sent,3,5
28,3,"[4, 5, 5]",8,CURRENT_icmp_sent,6,8
29,3,"[13, 34, 34]",8,CURRENT_icmp_sent,21,23
30,3,"[29, 34, 34]",8,CURRENT_icmp_sent,22,24
31,3,"[23, 23, 41]",8,CURRENT_icmp_sent,31,33
32,3,"[23, 23, 32]",8,CURRENT_icmp_sent,32,34
33,3,"[8, 13, 13]",9,CURRENT_icmp_recv,7,9
34,3,"[8, 13, 13]",9,CURRENT_icmp_recv,8,10
35,3,"[24, 33, 33]",9,CURRENT_icmp_recv,18,20
36,3,"[4, 4, 9]",9,CURRENT_icmp_sent,4,6
37,3,"[4, 4, 7]",9,CURRENT_icmp_sent,6,8
38,3,"[14, 21, 21]",9,CURRENT_icmp_sent,19,21
39,3,"[21, 21, 34]",9,CURRENT_icmp_sent,20,22
40,3,"[4, 4, 5]",10,CURRENT_icmp_recv,5,7
41,3,"[33, 33, 50]",10,CURRENT_icmp_recv,26,28
42,3,"[29, 33, 33]",10,CURRENT_icmp_recv,27,29
43,3,"[4, 4, 5]",10,CURRENT_icmp_sent,5,7
44,3,"[3, 3, 4]",10,CURRENT_icmp_sent,9,11
45,3,"[3, 19, 19]",10,CURRENT_icmp_sent,11,13
46,3,"[13, 19, 19]",10,CURRENT_icmp_sent,12,14
47,3,"[21, 21, 24]",10,CURRENT_icmp_sent,19,21
48,3,"[5, 18, 18]",10,CURRENT_icmp_sent,32,34
49,3,"[20, 24, 24]",11,CURRENT_icmp_recv,6,8
50,3,"[58, 79, 79]",11,CURRENT_icmp_recv,22,24
51,3,"[79, 79, 134]",11,CURRENT_icmp_recv,23,25
52,3,"[16, 16, 18]",11,CURRENT_icmp_recv,33,35
53,3,"[4, 4, 8]",12,CURRENT_icmp_recv,6,8
54,3,"[4, 4, 5]",12,CURRENT_icmp_recv,7,9
55,3,"[4, 5, 5]",12,CURRENT_icmp_recv,8,10
56,3,"[5, 5, 24]",12,CURRENT_icmp_recv,9,11
57,3,"[16, 16, 23]",12,CURRENT_icmp_recv,20,22
58,3,"[16, 16, 46]",12,CURRENT_icmp_recv,21,23
59,3,"[3, 3, 6]",12,CURRENT_icmp_recv,29,31
60,3,"[3, 3, 31]",12,CURRENT_icmp_recv,30,32
61,3,"[3, 31, 31]",12,CURRENT_icmp_recv,31,33
62,3,"[31, 31, 34]",12,CURRENT_icmp_recv,32,34
63,3,"[4, 5, 5]",12,CURRENT_icmp_sent,4,6
64,3,"[4, 4, 5]",12,CURRENT_icmp_sent,8,10
65,3,"[5, 5, 17]",12,CURRENT_icmp_sent,11,13
66,3,"[5, 5, 22]",12,CURRENT_icmp_sent,12,14
67,3,"[5, 22, 22]",12,CURRENT_icmp_sent,13,15
68,3,"[4, 22, 22]",12,CURRENT_icmp_sent,14,16
69,3,"[4, 8, 8]",12,CURRENT_icmp_sent,16,18
70,3,"[8, 8, 12]",12,CURRENT_icmp_sent,17,19
71,3,"[13, 13, 29]",12,CURRENT_icmp_sent,25,27
72,3,"[23, 25, 25]",12,CURRENT_icmp_sent,32,34
73,3,"[5, 5, 7]",13,CURRENT_icmp_sent,6,8
74,3,"[5, 5, 22]",13,CURRENT_icmp_sent,7,9
75,3,"[65, 65, 97]",14,CURRENT_icmp_recv,21,23
76,3,"[64, 65, 65]",14,CURRENT_icmp_recv,22,24
77,3,"[64, 65, 419]",14,CURRENT_icmp_recv,23,25
78,3,"[28, 28, 47]",14,CURRENT_icmp_sent,21,23
79,3,"[28, 28, 29]",14,CURRENT_icmp_sent,22,24
80,3,"[28, 29, 388]",14,CURRENT_icmp_sent,23,25
81,3,"[32, 51, 51]",15,CURRENT_icmp_recv,18,20
82,3,"[41, 51, 51]",15,CURRENT_icmp_recv,20,22
83,3,"[21, 21, 34]",15,CURRENT_icmp_recv,29,31
84,3,"[21, 21, 73]",15,CURRENT_icmp_recv,30,32
85,3,"[4, 4, 5]",15,CURRENT_icmp_sent,3,5
86,3,"[3, 4, 4]",15,CURRENT_icmp_sent,6,8
87,3,"[4, 4, 8]",15,CURRENT_icmp_sent,8,10
88,3,"[27, 27, 28]",15,CURRENT_icmp_sent,27,29
89,3,"[6, 33, 33]",15,CURRENT_icmp_sent,31,33
90,3,"[33, 33, 343]",15,CURRENT_icmp_sent,32,34
91,3,"[9, 9, 11]",16,CURRENT_icmp_recv,3,5
92,3,"[8, 9, 9]",16,CURRENT_icmp_recv,5,7
93,3,"[44, 44, 80]",16,CURRENT_icmp_recv,20,22
94,3,"[44, 44, 45]",16,CURRENT_icmp_recv,21,23
95,3,"[3, 3, 6]",16,CURRENT_icmp_sent,5,7
96,3,"[3, 3, 5]",16,CURRENT_icmp_sent,6,8
97,3,"[3, 3, 5]",16,CURRENT_icmp_sent,7,9
98,3,"[3, 5, 5]",16,CURRENT_icmp_sent,8,10
99,3,"[14, 21, 21]",16,CURRENT_icmp_sent,11,13
100,3,"[21, 21, 52]",16,CURRENT_icmp_sent,12,14
101,3,"[18, 18, 26]",16,CURRENT_icmp_sent,21,23
102,3,"[18, 26, 26]",16,CURRENT_icmp_sent,22,24
103,3,"[5, 5, 13]",17,CURRENT_icmp_recv,6,8
104,3,"[2, 2, 6]",18,CURRENT_icmp_recv,5,7
105,3,"[2, 2, 6]",18,CURRENT_icmp_recv,6,8
106,3,"[2, 2, 8]",18,CURRENT_icmp_recv,7,9
107,3,"[11, 11, 15]",18,CURRENT_icmp_recv,11,13
108,3,"[8, 9, 9]",18,CURRENT_icmp_recv,22,24
109,3,"[25, 25, 30]",18,CURRENT_icmp_recv,29,31
110,3,"[3, 3, 5]",18,CURRENT_icmp_sent,5,7
111,3,"[3, 3, 9]",18,CURRENT_icmp_sent,7,9
112,3,"[13, 13, 18]",18,CURRENT_icmp_sent,10,12
113,3,"[13, 18, 18]",18,CURRENT_icmp_sent,11,13
114,3,"[4, 4, 6]",18,CURRENT_icmp_sent,15,17
115,3,"[4, 4, 31]",18,CURRENT_icmp_sent,16,18
116,3,"[12, 17, 17]",18,CURRENT_icmp_sent,26,28
117,3,"[9, 17, 17]",18,CURRENT_icmp_sent,27,29
118,3,"[12, 12, 14]",18,CURRENT_icmp_sent,32,34
119,3,"[6, 7, 7]",19,CURRENT_icmp_recv,7,9
120,3,"[54, 54, 76]",19,CURRENT_icmp_recv,26,28
121,3,"[36, 54, 54]",19,CURRENT_icmp_recv,27,29
122,3,"[43, 49, 49]",19,CURRENT_icmp_recv,33,35
123,3,"[5, 5, 6]",19,CURRENT_icmp_sent,3,5
124,3,"[5, 5, 6]",19,CURRENT_icmp_sent,7,9
125,3,"[24, 24, 86]",19,CURRENT_icmp_sent,14,16
126,3,"[26, 26, 35]",19,CURRENT_icmp_sent,27,29
127,3,"[26, 26, 35]",19,CURRENT_icmp_sent,28,30
128,3,"[20, 26, 26]",19,CURRENT_icmp_sent,29,31
129,3,"[7, 7, 10]",20,CURRENT_icmp_recv,5,7
130,3,"[5, 7, 7]",20,CURRENT_icmp_recv,6,8
131,3,"[48, 48, 68]",20,CURRENT_icmp_recv,11,13
132,3,"[38, 39, 39]",20,CURRENT_icmp_recv,21,23
133,3,"[39, 39, 96]",20,CURRENT_icmp_recv,22,24
134,3,"[30, 30, 48]",20,CURRENT_icmp_recv,33,35
135,3,"[6, 6, 9]",20,CURRENT_icmp_sent,5,7
136,3,"[5, 6, 6]",20,CURRENT_icmp_sent,6,8
137,3,"[5, 6, 6]",20,CURRENT_icmp_sent,7,9
138,3,"[25, 25, 51]",21,CURRENT_icmp_recv,11,13
139,3,"[37, 57, 57]",22,CURRENT_icmp_recv,15,17
140,3,"[46, 92, 92]",22,CURRENT_icmp_recv,29,31
141,3,"[14, 15, 15]",22,CURRENT_icmp_sent,6,8
142,3,"[15, 15, 35]",22,CURRENT_icmp_sent,7,9
143,3,"[10, 11, 11]",23,CURRENT_icmp_sent,7,9
144,3,"[11, 11, 25]",23,CURRENT_icmp_sent,8,10
145,3,"[21, 21, 25]",23,CURRENT_icmp_sent,32,34
146,3,"[20, 21, 21]",23,CURRENT_icmp_sent,33,35
147,3,"[9, 12, 12]",24,CURRENT_icmp_recv,6,8
148,3,"[12, 12, 18]",24,CURRENT_icmp_recv,7,9
149,3,"[35, 47, 47]",24,CURRENT_icmp_recv,24,26
150,3,"[47, 47, 106]",24,CURRENT_icmp_recv,25,27
151,3,"[8, 8, 13]",24,CURRENT_icmp_sent,3,5
152,3,"[7, 8, 8]",24,CURRENT_icmp_sent,4,6
153,3,"[7, 7, 8]",24,CURRENT_icmp_sent,5,7
154,3,"[7, 7, 8]",24,CURRENT_icmp_sent,6,8
155,3,"[36, 36, 40]",24,CURRENT_icmp_sent,31,33
156,3,"[39, 39, 40]",25,CURRENT_icmp_recv,21,23
157,3,"[38, 39, 39]",25,CURRENT_icmp_recv,22,24
158,3,"[8, 9, 9]",25,CURRENT_icmp_sent,4,6
159,3,"[7, 9, 9]",25,CURRENT_icmp_sent,7,9
160,3,"[13, 19, 19]",25,CURRENT_icmp_sent,22,24
161,3,"[19, 19, 51]",25,CURRENT_icmp_sent,23,25
162,3,"[3, 3, 7]",26,CURRENT_icmp_recv,3,5
163,3,"[3, 3, 5]",26,CURRENT_icmp_recv,4,6
164,3,"[3, 3, 5]",26,CURRENT_icmp_recv,5,7
165,3,"[3, 5, 5]",26,CURRENT_icmp_sent,3,5
166,3,"[3, 3, 5]",26,CURRENT_icmp_sent,4,6
167,3,"[3, 3, 5]",26,CURRENT_icmp_sent,5,7
168,3,"[3, 3, 5]",26,CURRENT_icmp_sent,7,9
169,3,"[3, 3, 5]",26,CURRENT_icmp_sent,8,10
170,3,"[5, 8, 8]",26,CURRENT_icmp_sent,19,21
171,3,"[6, 6, 21]",26,CURRENT_icmp_sent,26,28
172,3,"[6, 6, 15]",26,CURRENT_icmp_sent,27,29
173,3,"[48, 48, 59]",27,CURRENT_icmp_recv,26,28
174,3,"[48, 48, 52]",27,CURRENT_icmp_recv,27,29
175,3,"[23, 23, 47]",27,CURRENT_icmp_sent,17,19
176,3,"[23, 23, 42]",27,CURRENT_icmp_sent,18,20
177,3,"[8, 8, 10]",28,CURRENT_icmp_recv,4,6
178,3,"[2, 8, 8]",28,CURRENT_icmp_recv,5,7
179,3,"[2, 8, 8]",28,CURRENT_icmp_recv,6,8
180,3,"[6, 8, 8]",28,CURRENT_icmp_sent,3,5
181,3,"[6, 6, 8]",28,CURRENT_icmp_sent,4,6
182,3,"[7, 8, 8]",28,CURRENT_icmp_sent,8,10
183,3,"[8, 8, 29]",28,CURRENT_icmp_sent,9,11
184,3,"[9, 18, 18]",28,CURRENT_icmp_sent,29,31
185,3,"[18, 18, 35]",28,CURRENT_icmp_sent,30,32
186,3,"[22, 22, 39]",29,CURRENT_icmp_recv,31,33
187,3,"[22, 22, 39]",29,CURRENT_icmp_recv,32,34
188,3,"[5, 22, 22]",29,CURRENT_icmp_recv,33,35
189,3,"[3, 5, 5]",29,CURRENT_icmp_sent,3,5
190,3,"[3, 4, 4]",29,CURRENT_icmp_sent,5,7
191,3,"[3, 4, 4]",29,CURRENT_icmp_sent,6,8
192,3,"[24, 58, 58]",29,CURRENT_icmp_sent,11,13
193,3,"[7, 8, 8]",30,CURRENT_icmp_recv,7,9
194,3,"[3, 3, 5]",31,CURRENT_icmp_sent,4,6
195,3,"[3, 5, 5]",31,CURRENT_icmp_sent,5,7
196,3,"[3, 3, 5]",31,CURRENT_icmp_sent,6,8
197,3,"[3, 3, 5]",31,CURRENT_icmp_sent,7,9
198,3,"[3, 3, 13]",31,CURRENT_icmp_sent,9,11
199,3,"[21, 21, 47]",31,CURRENT_icmp_sent,17,19
200,3,"[17, 17, 20]",31,CURRENT_icmp_sent,25,27
201,3,"[15, 17, 17]",31,CURRENT_icmp_sent,26,28
202,3,"[6, 6, 17]",32,CURRENT_icmp_recv,3,5
203,3,"[6, 6, 16]",32,CURRENT_icmp_recv,4,6
204,3,"[7, 7, 16]",32,CURRENT_icmp_recv,6,8
205,3,"[7, 7, 20]",32,CURRENT_icmp_recv,7,9
206,3,"[21, 28, 28]",32,CURRENT_icmp_sent,17,19
207,3,"[17, 34, 34]",32,CURRENT_icmp_sent,22,24
208,3,"[16, 17, 17]",33,CURRENT_icmp_recv,7,9
209,3,"[17, 17, 18]",33,CURRENT_icmp_recv,8,10
210,3,"[47, 55, 55]",33,CURRENT_icmp_recv,16,18
211,3,"[30, 55, 55]",33,CURRENT_icmp_recv,17,19
212,3,"[16, 16, 30]",33,CURRENT_icmp_sent,10,12
213,3,"[19, 19, 32]",34,CURRENT_icmp_recv,3,5
214,3,"[18, 19, 19]",34,CURRENT_icmp_recv,4,6
215,3,"[55, 55, 142]",34,CURRENT_icmp_recv,20,22
216,3,"[43, 43, 77]",34,CURRENT_icmp_recv,23,25
217,3,"[43, 43, 91]",34,CURRENT_icmp_recv,24,26
218,3,"[16, 16, 21]",34,CURRENT_icmp_sent,5,7
219,3,"[16, 16, 17]",34,CURRENT_icmp_sent,7,9
220,3,"[48, 74, 74]",34,CURRENT_icmp_sent,33,35
221,3,"[5, 5, 9]",35,CURRENT_icmp_recv,3,5
222,3,"[4, 4, 5]",35,CURRENT_icmp_recv,8,10
223,3,"[4, 4, 36]",35,CURRENT_icmp_recv,9,11
224,3,"[55, 55, 71]",35,CURRENT_icmp_recv,21,23
225,3,"[55, 55, 64]",35,CURRENT_icmp_recv,22,24
226,3,"[5, 7, 7]",35,CURRENT_icmp_sent,3,5
227,3,"[4, 4, 5]",35,CURRENT_icmp_sent,5,7
228,3,"[4, 4, 6]",35,CURRENT_icmp_sent,7,9
229,3,"[4, 4, 6]",35,CURRENT_icmp_sent,8,10
230,3,"[24, 24, 30]",35,CURRENT_icmp_sent,12,14
231,3,"[20, 24, 24]",35,CURRENT_icmp_sent,13,15
232,3,"[3, 3, 5]",36,CURRENT_icmp_recv,3,5
