NODE,DATA TYPE,outlier_no
10,CURRENT_icmp_recv,12
10,CURRENT_icmp_sent,3
11,CURRENT_icmp_recv,2
11,CURRENT_icmp_sent,7
12,CURRENT_icmp_recv,6
12,CURRENT_icmp_sent,9
13,CURRENT_icmp_recv,5
13,CURRENT_icmp_sent,1
2,CURRENT_icmp_recv,20
2,CURRENT_icmp_sent,2
3,CURRENT_icmp_recv,9
3,CURRENT_icmp_sent,29
4,CURRENT_icmp_recv,26
4,CURRENT_icmp_sent,22
6,CURRENT_icmp_recv,5
6,CURRENT_icmp_sent,10
8,CURRENT_icmp_recv,4
8,CURRENT_icmp_sent,6
9,CURRENT_icmp_recv,10
9,CURRENT_icmp_sent,27
