NODE,TIME,DATA TYPE,VALUES
"6	R",13,CURRENT_icmp_sent,6
"6	R",13,CURRENT_icmp_recv,6
"3	R",13,CURRENT_icmp_sent,5
"3	R",13,CURRENT_icmp_recv,6
"2	R",14,CURRENT_icmp_sent,4
"2	R",14,CURRENT_icmp_recv,3
"8	R",14,CURRENT_icmp_sent,2
"8	R",14,CURRENT_icmp_recv,3
"4	R",14,CURRENT_icmp_sent,6
"4	R",14,CURRENT_icmp_recv,5
"6	R",14,CURRENT_icmp_sent,7
"6	R",14,CURRENT_icmp_recv,5
"3	R",14,CURRENT_icmp_sent,6
"3	R",14,CURRENT_icmp_recv,4
"2	R",15,CURRENT_icmp_sent,2
"2	R",15,CURRENT_icmp_recv,3
"8	R",15,CURRENT_icmp_sent,2
"8	R",15,CURRENT_icmp_recv,3
"4	R",15,CURRENT_icmp_sent,4
"4	R",15,CURRENT_icmp_recv,4
"6	R",15,CURRENT_icmp_sent,6
"6	R",15,CURRENT_icmp_recv,3
"3	R",15,CURRENT_icmp_sent,6
"3	R",15,CURRENT_icmp_recv,4
"2	R",16,CURRENT_icmp_sent,4
"2	R",16,CURRENT_icmp_recv,2
"8	R",16,CURRENT_icmp_sent,3
"8	R",16,CURRENT_icmp_recv,3
"4	R",16,CURRENT_icmp_sent,4
"4	R",16,CURRENT_icmp_recv,5
"6	R",16,CURRENT_icmp_sent,6
"6	R",16,CURRENT_icmp_recv,4
"3	R",16,CURRENT_icmp_sent,6
"3	R",16,CURRENT_icmp_recv,4
"2	R",17,CURRENT_icmp_sent,4
"2	R",17,CURRENT_icmp_recv,3
"8	R",17,CURRENT_icmp_sent,4
"8	R",17,CURRENT_icmp_recv,4
"4	R",17,CURRENT_icmp_sent,4
"4	R",17,CURRENT_icmp_recv,5
"6	R",17,CURRENT_icmp_sent,6
"6	R",17,CURRENT_icmp_recv,5
"3	R",17,CURRENT_icmp_sent,4
"3	R",17,CURRENT_icmp_recv,4
"2	R",18,CURRENT_icmp_sent,5
"2	R",18,CURRENT_icmp_recv,2
"8	R",18,CURRENT_icmp_sent,4
"8	R",18,CURRENT_icmp_recv,3
"4	R",18,CURRENT_icmp_sent,7
"4	R",18,CURRENT_icmp_recv,6
"6	R",18,CURRENT_icmp_sent,9
"6	R",18,CURRENT_icmp_recv,6
"3	R",18,CURRENT_icmp_sent,7
"3	R",18,CURRENT_icmp_recv,9
"2	R",19,CURRENT_icmp_sent,4
"2	R",19,CURRENT_icmp_recv,3
"8	R",19,CURRENT_icmp_sent,2
"8	R",19,CURRENT_icmp_recv,2
"4	R",19,CURRENT_icmp_sent,5
"4	R",19,CURRENT_icmp_recv,5
"6	R",19,CURRENT_icmp_sent,4
"6	R",19,CURRENT_icmp_recv,3
"3	R",19,CURRENT_icmp_sent,4
"3	R",19,CURRENT_icmp_recv,4
"2	R",20,CURRENT_icmp_sent,2
"2	R",20,CURRENT_icmp_recv,3
"8	R",20,CURRENT_icmp_sent,4
"8	R",20,CURRENT_icmp_recv,3
"4	R",20,CURRENT_icmp_sent,5
"4	R",20,CURRENT_icmp_recv,4
"6	R",20,CURRENT_icmp_sent,6
"6	R",20,CURRENT_icmp_recv,4
"3	R",20,CURRENT_icmp_sent,5
"3	R",20,CURRENT_icmp_recv,5
"2	R",21,CURRENT_icmp_sent,5
