NODE,TIME,DATA TYPE,VALUES
10	R,1,CURRENT_icmp_sent,28
10	R,1,CURRENT_icmp_recv,91
13	R,1,CURRENT_icmp_sent,15
13	R,1,CURRENT_icmp_recv,75
2	R,1,CURRENT_icmp_sent,14
2	R,1,CURRENT_icmp_recv,29
8	R,1,CURRENT_icmp_sent,14
8	R,1,CURRENT_icmp_recv,75
20	R,1,CURRENT_icmp_sent,16
20	R,1,CURRENT_icmp_recv,52
4	R,1,CURRENT_icmp_sent,13
4	R,1,CURRENT_icmp_recv,32
9	R,1,CURRENT_icmp_sent,19
9	R,1,CURRENT_icmp_recv,55
16	R,1,CURRENT_icmp_sent,16
16	R,1,CURRENT_icmp_recv,58
17	R,1,CURRENT_icmp_sent,14
17	R,1,CURRENT_icmp_recv,72
22	R,1,CURRENT_icmp_sent,14
18	R,1,CURRENT_icmp_sent,13
22	R,1,CURRENT_icmp_recv,40
18	R,1,CURRENT_icmp_recv,39
12	R,1,CURRENT_icmp_sent,16
12	R,1,CURRENT_icmp_recv,64
14	R,1,CURRENT_icmp_sent,22
14	R,1,CURRENT_icmp_recv,100
11	R,1,CURRENT_icmp_sent,17
11	R,1,CURRENT_icmp_recv,20
6	R,1,CURRENT_icmp_sent,28
6	R,1,CURRENT_icmp_recv,56
21	R,1,CURRENT_icmp_sent,36
21	R,1,CURRENT_icmp_recv,83
19	R,1,CURRENT_icmp_sent,13
19	R,1,CURRENT_icmp_recv,54
15	R,1,CURRENT_icmp_sent,15
15	R,1,CURRENT_icmp_recv,51
3	R,1,CURRENT_icmp_sent,21
23	R,1,CURRENT_icmp_sent,14
3	R,1,CURRENT_icmp_recv,56
23	R,1,CURRENT_icmp_recv,18
10	R,2,CURRENT_icmp_sent,23
10	R,2,CURRENT_icmp_recv,22
13	R,2,CURRENT_icmp_sent,4
13	R,2,CURRENT_icmp_recv,24
2	R,2,CURRENT_icmp_sent,4
2	R,2,CURRENT_icmp_recv,5
8	R,2,CURRENT_icmp_sent,4
8	R,2,CURRENT_icmp_recv,20
20	R,2,CURRENT_icmp_sent,4
20	R,2,CURRENT_icmp_recv,14
4	R,2,CURRENT_icmp_sent,5
4	R,2,CURRENT_icmp_recv,7
9	R,2,CURRENT_icmp_sent,5
9	R,2,CURRENT_icmp_recv,13
16	R,2,CURRENT_icmp_sent,6
16	R,2,CURRENT_icmp_recv,15
17	R,2,CURRENT_icmp_sent,5
17	R,2,CURRENT_icmp_recv,21
22	R,2,CURRENT_icmp_sent,4
18	R,2,CURRENT_icmp_sent,5
22	R,2,CURRENT_icmp_recv,11
18	R,2,CURRENT_icmp_recv,12
12	R,2,CURRENT_icmp_sent,4
12	R,2,CURRENT_icmp_recv,16
14	R,2,CURRENT_icmp_sent,17
14	R,2,CURRENT_icmp_recv,37
11	R,2,CURRENT_icmp_sent,3
11	R,2,CURRENT_icmp_recv,3
6	R,2,CURRENT_icmp_sent,11
6	R,2,CURRENT_icmp_recv,13
21	R,2,CURRENT_icmp_sent,12
21	R,2,CURRENT_icmp_recv,19
19	R,2,CURRENT_icmp_sent,6
19	R,2,CURRENT_icmp_recv,13
15	R,2,CURRENT_icmp_sent,7
15	R,2,CURRENT_icmp_recv,15
3	R,2,CURRENT_icmp_sent,9
3	R,2,CURRENT_icmp_recv,11
23	R,2,CURRENT_icmp_sent,5
23	R,2,CURRENT_icmp_recv,3
10	R,3,CURRENT_icmp_sent,9
10	R,3,CURRENT_icmp_recv,10
13	R,3,CURRENT_icmp_sent,3
13	R,3,CURRENT_icmp_recv,11
2	R,3,CURRENT_icmp_sent,4
2	R,3,CURRENT_icmp_recv,4
8	R,3,CURRENT_icmp_sent,4
8	R,3,CURRENT_icmp_recv,16
20	R,3,CURRENT_icmp_sent,5
20	R,3,CURRENT_icmp_recv,11
4	R,3,CURRENT_icmp_sent,5
4	R,3,CURRENT_icmp_recv,9
9	R,3,CURRENT_icmp_sent,3
9	R,3,CURRENT_icmp_recv,6
16	R,3,CURRENT_icmp_sent,5
16	R,3,CURRENT_icmp_recv,9
17	R,3,CURRENT_icmp_sent,4
17	R,3,CURRENT_icmp_recv,8
22	R,3,CURRENT_icmp_sent,4
18	R,3,CURRENT_icmp_sent,5
22	R,3,CURRENT_icmp_recv,3
18	R,3,CURRENT_icmp_recv,3
12	R,3,CURRENT_icmp_sent,7
12	R,3,CURRENT_icmp_recv,9
14	R,3,CURRENT_icmp_sent,15
14	R,3,CURRENT_icmp_recv,31
11	R,3,CURRENT_icmp_sent,4
11	R,3,CURRENT_icmp_recv,2
6	R,3,CURRENT_icmp_sent,6
6	R,3,CURRENT_icmp_recv,11
21	R,3,CURRENT_icmp_sent,8
21	R,3,CURRENT_icmp_recv,5
19	R,3,CURRENT_icmp_sent,4
19	R,3,CURRENT_icmp_recv,5
15	R,3,CURRENT_icmp_sent,3
15	R,3,CURRENT_icmp_recv,6
3	R,3,CURRENT_icmp_sent,13
3	R,3,CURRENT_icmp_recv,6
23	R,3,CURRENT_icmp_sent,5
23	R,3,CURRENT_icmp_recv,7
10	R,4,CURRENT_icmp_sent,4
10	R,4,CURRENT_icmp_recv,11
13	R,4,CURRENT_icmp_sent,4
13	R,4,CURRENT_icmp_recv,10
2	R,4,CURRENT_icmp_sent,4
2	R,4,CURRENT_icmp_recv,7
8	R,4,CURRENT_icmp_sent,4
8	R,4,CURRENT_icmp_recv,11
20	R,4,CURRENT_icmp_sent,5
20	R,4,CURRENT_icmp_recv,7
4	R,4,CURRENT_icmp_sent,6
4	R,4,CURRENT_icmp_recv,4
9	R,4,CURRENT_icmp_sent,5
9	R,4,CURRENT_icmp_recv,7
16	R,4,CURRENT_icmp_sent,3
16	R,4,CURRENT_icmp_recv,14
17	R,4,CURRENT_icmp_sent,6
17	R,4,CURRENT_icmp_recv,10
22	R,4,CURRENT_icmp_sent,5
18	R,4,CURRENT_icmp_sent,2
22	R,4,CURRENT_icmp_recv,6
18	R,4,CURRENT_icmp_recv,5
12	R,4,CURRENT_icmp_sent,3
12	R,4,CURRENT_icmp_recv,10
14	R,4,CURRENT_icmp_sent,14
14	R,4,CURRENT_icmp_recv,24
11	R,4,CURRENT_icmp_sent,5
11	R,4,CURRENT_icmp_recv,5
6	R,4,CURRENT_icmp_sent,9
6	R,4,CURRENT_icmp_recv,6
21	R,4,CURRENT_icmp_sent,7
21	R,4,CURRENT_icmp_recv,8
19	R,4,CURRENT_icmp_sent,4
19	R,4,CURRENT_icmp_recv,9
15	R,4,CURRENT_icmp_sent,5
15	R,4,CURRENT_icmp_recv,4
3	R,4,CURRENT_icmp_sent,7
3	R,4,CURRENT_icmp_recv,7
23	R,4,CURRENT_icmp_sent,4
23	R,4,CURRENT_icmp_recv,2
10	R,5,CURRENT_icmp_sent,8
10	R,5,CURRENT_icmp_recv,4
13	R,5,CURRENT_icmp_sent,3
13	R,5,CURRENT_icmp_recv,7
2	R,5,CURRENT_icmp_sent,3
2	R,5,CURRENT_icmp_recv,2
8	R,5,CURRENT_icmp_sent,3
8	R,5,CURRENT_icmp_recv,4
20	R,5,CURRENT_icmp_sent,3
20	R,5,CURRENT_icmp_recv,5
4	R,5,CURRENT_icmp_sent,5
4	R,5,CURRENT_icmp_recv,5
9	R,5,CURRENT_icmp_sent,3
9	R,5,CURRENT_icmp_recv,5
16	R,5,CURRENT_icmp_sent,4
16	R,5,CURRENT_icmp_recv,2
17	R,5,CURRENT_icmp_sent,3
17	R,5,CURRENT_icmp_recv,5
22	R,5,CURRENT_icmp_sent,3
18	R,5,CURRENT_icmp_sent,4
22	R,5,CURRENT_icmp_recv,1
18	R,5,CURRENT_icmp_recv,4
12	R,5,CURRENT_icmp_sent,4
12	R,5,CURRENT_icmp_recv,4
14	R,5,CURRENT_icmp_sent,13
14	R,5,CURRENT_icmp_recv,16
11	R,5,CURRENT_icmp_sent,3
11	R,5,CURRENT_icmp_recv,0
6	R,5,CURRENT_icmp_sent,4
6	R,5,CURRENT_icmp_recv,2
21	R,5,CURRENT_icmp_sent,6
21	R,5,CURRENT_icmp_recv,8
19	R,5,CURRENT_icmp_sent,4
19	R,5,CURRENT_icmp_recv,3
15	R,5,CURRENT_icmp_sent,3
