NODE,TIME,DATA TYPE,VALUES
15	R,5,CURRENT_icmp_recv,4
3	R,5,CURRENT_icmp_sent,7
3	R,5,CURRENT_icmp_recv,3
23	R,5,CURRENT_icmp_sent,4
23	R,5,CURRENT_icmp_recv,3
10	R,6,CURRENT_icmp_sent,7
10	R,6,CURRENT_icmp_recv,13
13	R,6,CURRENT_icmp_sent,5
13	R,6,CURRENT_icmp_recv,7
2	R,6,CURRENT_icmp_sent,5
2	R,6,CURRENT_icmp_recv,6
8	R,6,CURRENT_icmp_sent,2
8	R,6,CURRENT_icmp_recv,8
20	R,6,CURRENT_icmp_sent,3
20	R,6,CURRENT_icmp_recv,5
4	R,6,CURRENT_icmp_sent,5
4	R,6,CURRENT_icmp_recv,7
9	R,6,CURRENT_icmp_sent,5
9	R,6,CURRENT_icmp_recv,7
16	R,6,CURRENT_icmp_sent,4
16	R,6,CURRENT_icmp_recv,9
17	R,6,CURRENT_icmp_sent,3
17	R,6,CURRENT_icmp_recv,9
22	R,6,CURRENT_icmp_sent,4
18	R,6,CURRENT_icmp_sent,3
22	R,6,CURRENT_icmp_recv,4
18	R,6,CURRENT_icmp_recv,4
12	R,6,CURRENT_icmp_sent,7
12	R,6,CURRENT_icmp_recv,6
14	R,6,CURRENT_icmp_sent,16
14	R,6,CURRENT_icmp_recv,19
11	R,6,CURRENT_icmp_sent,4
11	R,6,CURRENT_icmp_recv,2
6	R,6,CURRENT_icmp_sent,4
6	R,6,CURRENT_icmp_recv,3
21	R,6,CURRENT_icmp_sent,7
21	R,6,CURRENT_icmp_recv,8
19	R,6,CURRENT_icmp_sent,4
19	R,6,CURRENT_icmp_recv,4
15	R,6,CURRENT_icmp_sent,5
15	R,6,CURRENT_icmp_recv,7
3	R,6,CURRENT_icmp_sent,7
3	R,6,CURRENT_icmp_recv,4
23	R,6,CURRENT_icmp_sent,4
23	R,6,CURRENT_icmp_recv,3
10	R,7,CURRENT_icmp_sent,9
10	R,7,CURRENT_icmp_recv,13
13	R,7,CURRENT_icmp_sent,3
13	R,7,CURRENT_icmp_recv,10
2	R,7,CURRENT_icmp_sent,5
2	R,7,CURRENT_icmp_recv,1
8	R,7,CURRENT_icmp_sent,5
8	R,7,CURRENT_icmp_recv,8
20	R,7,CURRENT_icmp_sent,5
20	R,7,CURRENT_icmp_recv,8
4	R,7,CURRENT_icmp_sent,2
4	R,7,CURRENT_icmp_recv,4
9	R,7,CURRENT_icmp_sent,3
9	R,7,CURRENT_icmp_recv,5
16	R,7,CURRENT_icmp_sent,5
16	R,7,CURRENT_icmp_recv,11
17	R,7,CURRENT_icmp_sent,3
17	R,7,CURRENT_icmp_recv,8
22	R,7,CURRENT_icmp_sent,3
18	R,7,CURRENT_icmp_sent,5
22	R,7,CURRENT_icmp_recv,2
18	R,7,CURRENT_icmp_recv,1
12	R,7,CURRENT_icmp_sent,4
12	R,7,CURRENT_icmp_recv,9
14	R,7,CURRENT_icmp_sent,15
14	R,7,CURRENT_icmp_recv,22
11	R,7,CURRENT_icmp_sent,5
11	R,7,CURRENT_icmp_recv,5
6	R,7,CURRENT_icmp_sent,6
6	R,7,CURRENT_icmp_recv,6
21	R,7,CURRENT_icmp_sent,7
21	R,7,CURRENT_icmp_recv,5
19	R,7,CURRENT_icmp_sent,5
19	R,7,CURRENT_icmp_recv,5
15	R,7,CURRENT_icmp_sent,7
15	R,7,CURRENT_icmp_recv,5
3	R,7,CURRENT_icmp_sent,5
23	R,7,CURRENT_icmp_sent,4
3	R,7,CURRENT_icmp_recv,8
23	R,7,CURRENT_icmp_recv,3
10	R,8,CURRENT_icmp_sent,9
10	R,8,CURRENT_icmp_recv,5
13	R,8,CURRENT_icmp_sent,4
13	R,8,CURRENT_icmp_recv,4
2	R,8,CURRENT_icmp_sent,3
2	R,8,CURRENT_icmp_recv,2
8	R,8,CURRENT_icmp_sent,4
8	R,8,CURRENT_icmp_recv,11
20	R,8,CURRENT_icmp_sent,7
20	R,8,CURRENT_icmp_recv,14
4	R,8,CURRENT_icmp_sent,4
4	R,8,CURRENT_icmp_recv,9
9	R,8,CURRENT_icmp_sent,3
9	R,8,CURRENT_icmp_recv,6
16	R,8,CURRENT_icmp_sent,3
16	R,8,CURRENT_icmp_recv,8
17	R,8,CURRENT_icmp_sent,3
17	R,8,CURRENT_icmp_recv,4
22	R,8,CURRENT_icmp_sent,5
18	R,8,CURRENT_icmp_sent,3
22	R,8,CURRENT_icmp_recv,3
18	R,8,CURRENT_icmp_recv,3
12	R,8,CURRENT_icmp_sent,3
12	R,8,CURRENT_icmp_recv,4
14	R,8,CURRENT_icmp_sent,11
14	R,8,CURRENT_icmp_recv,17
11	R,8,CURRENT_icmp_sent,2
11	R,8,CURRENT_icmp_recv,1
6	R,8,CURRENT_icmp_sent,4
6	R,8,CURRENT_icmp_recv,8
21	R,8,CURRENT_icmp_sent,6
21	R,8,CURRENT_icmp_recv,6
19	R,8,CURRENT_icmp_sent,3
19	R,8,CURRENT_icmp_recv,5
15	R,8,CURRENT_icmp_sent,4
15	R,8,CURRENT_icmp_recv,2
23	R,8,CURRENT_icmp_sent,3
3	R,8,CURRENT_icmp_sent,12
23	R,8,CURRENT_icmp_recv,7
3	R,8,CURRENT_icmp_recv,3
10	R,9,CURRENT_icmp_sent,6
10	R,9,CURRENT_icmp_recv,5
13	R,9,CURRENT_icmp_sent,3
13	R,9,CURRENT_icmp_recv,8
2	R,9,CURRENT_icmp_sent,6
2	R,9,CURRENT_icmp_recv,2
8	R,9,CURRENT_icmp_sent,3
8	R,9,CURRENT_icmp_recv,6
20	R,9,CURRENT_icmp_sent,7
20	R,9,CURRENT_icmp_recv,4
4	R,9,CURRENT_icmp_sent,3
4	R,9,CURRENT_icmp_recv,6
9	R,9,CURRENT_icmp_sent,3
9	R,9,CURRENT_icmp_recv,4
16	R,9,CURRENT_icmp_sent,3
16	R,9,CURRENT_icmp_recv,5
17	R,9,CURRENT_icmp_sent,5
17	R,9,CURRENT_icmp_recv,2
22	R,9,CURRENT_icmp_sent,3
18	R,9,CURRENT_icmp_sent,5
22	R,9,CURRENT_icmp_recv,2
18	R,9,CURRENT_icmp_recv,4
12	R,9,CURRENT_icmp_sent,5
12	R,9,CURRENT_icmp_recv,6
14	R,9,CURRENT_icmp_sent,13
14	R,9,CURRENT_icmp_recv,11
11	R,9,CURRENT_icmp_sent,3
11	R,9,CURRENT_icmp_recv,3
6	R,9,CURRENT_icmp_sent,4
6	R,9,CURRENT_icmp_recv,3
21	R,9,CURRENT_icmp_sent,5
21	R,9,CURRENT_icmp_recv,3
19	R,9,CURRENT_icmp_sent,3
19	R,9,CURRENT_icmp_recv,3
15	R,9,CURRENT_icmp_sent,3
15	R,9,CURRENT_icmp_recv,3
3	R,9,CURRENT_icmp_sent,7
3	R,9,CURRENT_icmp_recv,3
23	R,9,CURRENT_icmp_sent,4
23	R,9,CURRENT_icmp_recv,1
10	R,10,CURRENT_icmp_sent,7
10	R,10,CURRENT_icmp_recv,11
13	R,10,CURRENT_icmp_sent,4
13	R,10,CURRENT_icmp_recv,12
2	R,10,CURRENT_icmp_sent,4
2	R,10,CURRENT_icmp_recv,6
8	R,10,CURRENT_icmp_sent,3
8	R,10,CURRENT_icmp_recv,11
20	R,10,CURRENT_icmp_sent,5
20	R,10,CURRENT_icmp_recv,9
4	R,10,CURRENT_icmp_sent,6
4	R,10,CURRENT_icmp_recv,5
9	R,10,CURRENT_icmp_sent,4
9	R,10,CURRENT_icmp_recv,7
16	R,10,CURRENT_icmp_sent,5
16	R,10,CURRENT_icmp_recv,5
17	R,10,CURRENT_icmp_sent,5
17	R,10,CURRENT_icmp_recv,6
22	R,10,CURRENT_icmp_sent,5
18	R,10,CURRENT_icmp_sent,3
22	R,10,CURRENT_icmp_recv,2
18	R,10,CURRENT_icmp_recv,2
12	R,10,CURRENT_icmp_sent,6
12	R,10,CURRENT_icmp_recv,11
14	R,10,CURRENT_icmp_sent,14
14	R,10,CURRENT_icmp_recv,18
11	R,10,CURRENT_icmp_sent,5
11	R,10,CURRENT_icmp_recv,3
6	R,10,CURRENT_icmp_sent,4
6	R,10,CURRENT_icmp_recv,5
21	R,10,CURRENT_icmp_sent,5
21	R,10,CURRENT_icmp_recv,10
19	R,10,CURRENT_icmp_sent,4
19	R,10,CURRENT_icmp_recv,6
15	R,10,CURRENT_icmp_sent,6
15	R,10,CURRENT_icmp_recv,6
3	R,10,CURRENT_icmp_sent,6
3	R,10,CURRENT_icmp_recv,9
23	R,10,CURRENT_icmp_sent,4
23	R,10,CURRENT_icmp_recv,5
10	R,11,CURRENT_icmp_sent,7
10	R,11,CURRENT_icmp_recv,8
13	R,11,CURRENT_icmp_sent,3
13	R,11,CURRENT_icmp_recv,6
2	R,11,CURRENT_icmp_sent,3
2	R,11,CURRENT_icmp_recv,1
8	R,11,CURRENT_icmp_sent,3
8	R,11,CURRENT_icmp_recv,10
20	R,11,CURRENT_icmp_sent,8
20	R,11,CURRENT_icmp_recv,9
4	R,11,CURRENT_icmp_sent,3
4	R,11,CURRENT_icmp_recv,1
9	R,11,CURRENT_icmp_sent,3
9	R,11,CURRENT_icmp_recv,5
16	R,11,CURRENT_icmp_sent,4
16	R,11,CURRENT_icmp_recv,8
17	R,11,CURRENT_icmp_sent,3
17	R,11,CURRENT_icmp_recv,12
22	R,11,CURRENT_icmp_sent,4
18	R,11,CURRENT_icmp_sent,4
22	R,11,CURRENT_icmp_recv,3
18	R,11,CURRENT_icmp_recv,2
12	R,11,CURRENT_icmp_sent,3
12	R,11,CURRENT_icmp_recv,5
14	R,11,CURRENT_icmp_sent,10
14	R,11,CURRENT_icmp_recv,14
11	R,11,CURRENT_icmp_sent,3
11	R,11,CURRENT_icmp_recv,1
6	R,11,CURRENT_icmp_sent,5
6	R,11,CURRENT_icmp_recv,5
21	R,11,CURRENT_icmp_sent,4
21	R,11,CURRENT_icmp_recv,5
19	R,11,CURRENT_icmp_sent,4
19	R,11,CURRENT_icmp_recv,4
15	R,11,CURRENT_icmp_sent,4
15	R,11,CURRENT_icmp_recv,4
3	R,11,CURRENT_icmp_sent,6
3	R,11,CURRENT_icmp_recv,4
23	R,11,CURRENT_icmp_sent,4
23	R,11,CURRENT_icmp_recv,1
10	R,12,CURRENT_icmp_sent,8
10	R,12,CURRENT_icmp_recv,5
13	R,12,CURRENT_icmp_sent,3
13	R,12,CURRENT_icmp_recv,4
2	R,12,CURRENT_icmp_sent,4
2	R,12,CURRENT_icmp_recv,3
8	R,12,CURRENT_icmp_sent,4
8	R,12,CURRENT_icmp_recv,2
20	R,12,CURRENT_icmp_sent,6
20	R,12,CURRENT_icmp_recv,4
4	R,12,CURRENT_icmp_sent,3
4	R,12,CURRENT_icmp_recv,4
9	R,12,CURRENT_icmp_sent,3
9	R,12,CURRENT_icmp_recv,4
16	R,12,CURRENT_icmp_sent,4
16	R,12,CURRENT_icmp_recv,3
17	R,12,CURRENT_icmp_sent,4
17	R,12,CURRENT_icmp_recv,4
22	R,12,CURRENT_icmp_sent,4
18	R,12,CURRENT_icmp_sent,4
22	R,12,CURRENT_icmp_recv,1
18	R,12,CURRENT_icmp_recv,1
12	R,12,CURRENT_icmp_sent,4
12	R,12,CURRENT_icmp_recv,5
14	R,12,CURRENT_icmp_sent,12
14	R,12,CURRENT_icmp_recv,14
11	R,12,CURRENT_icmp_sent,4
11	R,12,CURRENT_icmp_recv,1
6	R,12,CURRENT_icmp_sent,6
6	R,12,CURRENT_icmp_recv,4
21	R,12,CURRENT_icmp_sent,5
21	R,12,CURRENT_icmp_recv,5
19	R,12,CURRENT_icmp_sent,4
19	R,12,CURRENT_icmp_recv,3
15	R,12,CURRENT_icmp_sent,4
15	R,12,CURRENT_icmp_recv,4
3	R,12,CURRENT_icmp_sent,7
3	R,12,CURRENT_icmp_recv,3
23	R,12,CURRENT_icmp_sent,4
23	R,12,CURRENT_icmp_recv,1
10	R,13,CURRENT_icmp_sent,6
10	R,13,CURRENT_icmp_recv,10
13	R,13,CURRENT_icmp_sent,4
13	R,13,CURRENT_icmp_recv,13
2	R,13,CURRENT_icmp_sent,3
2	R,13,CURRENT_icmp_recv,2
8	R,13,CURRENT_icmp_sent,4
8	R,13,CURRENT_icmp_recv,11
20	R,13,CURRENT_icmp_sent,8
20	R,13,CURRENT_icmp_recv,11
4	R,13,CURRENT_icmp_sent,3
4	R,13,CURRENT_icmp_recv,5
9	R,13,CURRENT_icmp_sent,3
9	R,13,CURRENT_icmp_recv,7
16	R,13,CURRENT_icmp_sent,5
16	R,13,CURRENT_icmp_recv,6
17	R,13,CURRENT_icmp_sent,5
17	R,13,CURRENT_icmp_recv,9
22	R,13,CURRENT_icmp_sent,3
18	R,13,CURRENT_icmp_sent,4
22	R,13,CURRENT_icmp_recv,2
18	R,13,CURRENT_icmp_recv,5
12	R,13,CURRENT_icmp_sent,3
12	R,13,CURRENT_icmp_recv,7
14	R,13,CURRENT_icmp_sent,9
14	R,13,CURRENT_icmp_recv,18
11	R,13,CURRENT_icmp_sent,3
11	R,13,CURRENT_icmp_recv,2
6	R,13,CURRENT_icmp_sent,4
6	R,13,CURRENT_icmp_recv,6
21	R,13,CURRENT_icmp_sent,6
21	R,13,CURRENT_icmp_recv,9
19	R,13,CURRENT_icmp_sent,4
19	R,13,CURRENT_icmp_recv,5
15	R,13,CURRENT_icmp_sent,5
15	R,13,CURRENT_icmp_recv,5
3	R,13,CURRENT_icmp_sent,8
3	R,13,CURRENT_icmp_recv,7
23	R,13,CURRENT_icmp_sent,5
23	R,13,CURRENT_icmp_recv,3
10	R,14,CURRENT_icmp_sent,10
10	R,14,CURRENT_icmp_recv,7
13	R,14,CURRENT_icmp_sent,3
13	R,14,CURRENT_icmp_recv,9
2	R,14,CURRENT_icmp_sent,5
2	R,14,CURRENT_icmp_recv,5
8	R,14,CURRENT_icmp_sent,4
8	R,14,CURRENT_icmp_recv,5
20	R,14,CURRENT_icmp_sent,5
20	R,14,CURRENT_icmp_recv,5
4	R,14,CURRENT_icmp_sent,5
4	R,14,CURRENT_icmp_recv,5
9	R,14,CURRENT_icmp_sent,4
9	R,14,CURRENT_icmp_recv,5
16	R,14,CURRENT_icmp_sent,3
16	R,14,CURRENT_icmp_recv,9
17	R,14,CURRENT_icmp_sent,3
17	R,14,CURRENT_icmp_recv,3
22	R,14,CURRENT_icmp_sent,6
18	R,14,CURRENT_icmp_sent,4
22	R,14,CURRENT_icmp_recv,2
18	R,14,CURRENT_icmp_recv,2
12	R,14,CURRENT_icmp_sent,5
12	R,14,CURRENT_icmp_recv,10
14	R,14,CURRENT_icmp_sent,13
14	R,14,CURRENT_icmp_recv,16
11	R,14,CURRENT_icmp_sent,3
11	R,14,CURRENT_icmp_recv,2
6	R,14,CURRENT_icmp_sent,5
6	R,14,CURRENT_icmp_recv,2
21	R,14,CURRENT_icmp_sent,5
21	R,14,CURRENT_icmp_recv,7
19	R,14,CURRENT_icmp_sent,3
19	R,14,CURRENT_icmp_recv,5
15	R,14,CURRENT_icmp_sent,5
15	R,14,CURRENT_icmp_recv,4
3	R,14,CURRENT_icmp_sent,6
3	R,14,CURRENT_icmp_recv,5
23	R,14,CURRENT_icmp_sent,3
23	R,14,CURRENT_icmp_recv,2
10	R,15,CURRENT_icmp_sent,7
10	R,15,CURRENT_icmp_recv,5
13	R,15,CURRENT_icmp_sent,4
13	R,15,CURRENT_icmp_recv,1
2	R,15,CURRENT_icmp_sent,2
2	R,15,CURRENT_icmp_recv,4
8	R,15,CURRENT_icmp_sent,3
8	R,15,CURRENT_icmp_recv,8
20	R,15,CURRENT_icmp_sent,6
20	R,15,CURRENT_icmp_recv,8
4	R,15,CURRENT_icmp_sent,3
4	R,15,CURRENT_icmp_recv,1
9	R,15,CURRENT_icmp_sent,4
9	R,15,CURRENT_icmp_recv,4
16	R,15,CURRENT_icmp_sent,4
16	R,15,CURRENT_icmp_recv,2
17	R,15,CURRENT_icmp_sent,3
17	R,15,CURRENT_icmp_recv,8
22	R,15,CURRENT_icmp_sent,1
18	R,15,CURRENT_icmp_sent,4
22	R,15,CURRENT_icmp_recv,1
18	R,15,CURRENT_icmp_recv,1
12	R,15,CURRENT_icmp_sent,4
12	R,15,CURRENT_icmp_recv,1
14	R,15,CURRENT_icmp_sent,11
14	R,15,CURRENT_icmp_recv,11
11	R,15,CURRENT_icmp_sent,4
11	R,15,CURRENT_icmp_recv,1
6	R,15,CURRENT_icmp_sent,5
6	R,15,CURRENT_icmp_recv,4
21	R,15,CURRENT_icmp_sent,5
21	R,15,CURRENT_icmp_recv,2
19	R,15,CURRENT_icmp_sent,3
19	R,15,CURRENT_icmp_recv,2
15	R,15,CURRENT_icmp_sent,5
15	R,15,CURRENT_icmp_recv,1
3	R,15,CURRENT_icmp_sent,6
3	R,15,CURRENT_icmp_recv,4
23	R,15,CURRENT_icmp_sent,4
23	R,15,CURRENT_icmp_recv,2
10	R,16,CURRENT_icmp_sent,6
10	R,16,CURRENT_icmp_recv,7
13	R,16,CURRENT_icmp_sent,3
13	R,16,CURRENT_icmp_recv,6
2	R,16,CURRENT_icmp_sent,3
2	R,16,CURRENT_icmp_recv,2
8	R,16,CURRENT_icmp_sent,2
8	R,16,CURRENT_icmp_recv,7
20	R,16,CURRENT_icmp_sent,7
20	R,16,CURRENT_icmp_recv,9
4	R,16,CURRENT_icmp_sent,4
4	R,16,CURRENT_icmp_recv,4
9	R,16,CURRENT_icmp_sent,3
9	R,16,CURRENT_icmp_recv,3
16	R,16,CURRENT_icmp_sent,4
16	R,16,CURRENT_icmp_recv,6
17	R,16,CURRENT_icmp_sent,3
17	R,16,CURRENT_icmp_recv,4
22	R,16,CURRENT_icmp_sent,4
18	R,16,CURRENT_icmp_sent,3
22	R,16,CURRENT_icmp_recv,1
18	R,16,CURRENT_icmp_recv,1
12	R,16,CURRENT_icmp_sent,5
12	R,16,CURRENT_icmp_recv,7
14	R,16,CURRENT_icmp_sent,12
14	R,16,CURRENT_icmp_recv,14
11	R,16,CURRENT_icmp_sent,3
11	R,16,CURRENT_icmp_recv,2
6	R,16,CURRENT_icmp_sent,5
6	R,16,CURRENT_icmp_recv,2
21	R,16,CURRENT_icmp_sent,5
21	R,16,CURRENT_icmp_recv,3
19	R,16,CURRENT_icmp_sent,3
19	R,16,CURRENT_icmp_recv,4
15	R,16,CURRENT_icmp_sent,4
15	R,16,CURRENT_icmp_recv,4
3	R,16,CURRENT_icmp_sent,7
3	R,16,CURRENT_icmp_recv,4
23	R,16,CURRENT_icmp_sent,3
23	R,16,CURRENT_icmp_recv,2
10	R,17,CURRENT_icmp_sent,6
10	R,17,CURRENT_icmp_recv,7
13	R,17,CURRENT_icmp_sent,3
13	R,17,CURRENT_icmp_recv,15
2	R,17,CURRENT_icmp_sent,5
2	R,17,CURRENT_icmp_recv,6
8	R,17,CURRENT_icmp_sent,3
8	R,17,CURRENT_icmp_recv,6
20	R,17,CURRENT_icmp_sent,7
20	R,17,CURRENT_icmp_recv,7
4	R,17,CURRENT_icmp_sent,4
4	R,17,CURRENT_icmp_recv,7
9	R,17,CURRENT_icmp_sent,4
9	R,17,CURRENT_icmp_recv,7
16	R,17,CURRENT_icmp_sent,3
16	R,17,CURRENT_icmp_recv,4
17	R,17,CURRENT_icmp_sent,4
17	R,17,CURRENT_icmp_recv,11
22	R,17,CURRENT_icmp_sent,5
18	R,17,CURRENT_icmp_sent,4
22	R,17,CURRENT_icmp_recv,2
18	R,17,CURRENT_icmp_recv,5
12	R,17,CURRENT_icmp_sent,5
12	R,17,CURRENT_icmp_recv,7
