NODE,TIME,DATA TYPE,VALUES
2,1,CURRENT_icmp_sent,15
2,1,CURRENT_icmp_recv,8
8,1,CURRENT_icmp_sent,16
8,1,CURRENT_icmp_recv,21
4,1,CURRENT_icmp_sent,17
4,1,CURRENT_icmp_recv,22
6,1,CURRENT_icmp_sent,27
6,1,CURRENT_icmp_recv,34
3,1,CURRENT_icmp_sent,22
3,1,CURRENT_icmp_recv,28
2,2,CURRENT_icmp_sent,4
2,2,CURRENT_icmp_recv,3
8,2,CURRENT_icmp_sent,5
8,2,CURRENT_icmp_recv,8
4,2,CURRENT_icmp_sent,6
4,2,CURRENT_icmp_recv,6
6,2,CURRENT_icmp_sent,9
6,2,CURRENT_icmp_recv,9
3,2,CURRENT_icmp_sent,9
3,2,CURRENT_icmp_recv,8
2,3,CURRENT_icmp_sent,5
2,3,CURRENT_icmp_recv,3
8,3,CURRENT_icmp_sent,3
8,3,CURRENT_icmp_recv,3
4,3,CURRENT_icmp_sent,6
4,3,CURRENT_icmp_recv,8
6,3,CURRENT_icmp_sent,5
6,3,CURRENT_icmp_recv,3
3,3,CURRENT_icmp_sent,6
3,3,CURRENT_icmp_recv,7
2,4,CURRENT_icmp_sent,4
2,4,CURRENT_icmp_recv,3
8,4,CURRENT_icmp_sent,5
8,4,CURRENT_icmp_recv,4
4,4,CURRENT_icmp_sent,5
4,4,CURRENT_icmp_recv,4
6,4,CURRENT_icmp_sent,7
6,4,CURRENT_icmp_recv,6
3,4,CURRENT_icmp_sent,4
3,4,CURRENT_icmp_recv,7
2,5,CURRENT_icmp_sent,4
2,5,CURRENT_icmp_recv,2
8,5,CURRENT_icmp_sent,3
8,5,CURRENT_icmp_recv,4
4,5,CURRENT_icmp_sent,5
4,5,CURRENT_icmp_recv,5
6,5,CURRENT_icmp_sent,7
6,5,CURRENT_icmp_recv,4
3,5,CURRENT_icmp_sent,6
3,5,CURRENT_icmp_recv,5
2,6,CURRENT_icmp_sent,4
2,6,CURRENT_icmp_recv,2
8,6,CURRENT_icmp_sent,3
8,6,CURRENT_icmp_recv,3
4,6,CURRENT_icmp_sent,6
4,6,CURRENT_icmp_recv,6
6,6,CURRENT_icmp_sent,7
6,6,CURRENT_icmp_recv,7
3,6,CURRENT_icmp_sent,7
3,6,CURRENT_icmp_recv,7
2,7,CURRENT_icmp_sent,4
2,7,CURRENT_icmp_recv,2
8,7,CURRENT_icmp_sent,5
8,7,CURRENT_icmp_recv,4
4,7,CURRENT_icmp_sent,4
4,7,CURRENT_icmp_recv,6
6,7,CURRENT_icmp_sent,5
6,7,CURRENT_icmp_recv,4
3,7,CURRENT_icmp_sent,5
3,7,CURRENT_icmp_recv,6
2,8,CURRENT_icmp_sent,4
2,8,CURRENT_icmp_recv,3
8,8,CURRENT_icmp_sent,2
8,8,CURRENT_icmp_recv,3
4,8,CURRENT_icmp_sent,5
4,8,CURRENT_icmp_recv,6
6,8,CURRENT_icmp_sent,6
6,8,CURRENT_icmp_recv,4
3,8,CURRENT_icmp_sent,6
3,8,CURRENT_icmp_recv,4
2,9,CURRENT_icmp_sent,4
2,9,CURRENT_icmp_recv,4
8,9,CURRENT_icmp_sent,3
8,9,CURRENT_icmp_recv,4
4,9,CURRENT_icmp_sent,6
4,9,CURRENT_icmp_recv,5
6,9,CURRENT_icmp_sent,7
6,9,CURRENT_icmp_recv,4
3,9,CURRENT_icmp_sent,6
3,9,CURRENT_icmp_recv,5
2,10,CURRENT_icmp_sent,4
2,10,CURRENT_icmp_recv,1
8,10,CURRENT_icmp_sent,4
8,10,CURRENT_icmp_recv,3
4,10,CURRENT_icmp_sent,4
4,10,CURRENT_icmp_recv,6
6,10,CURRENT_icmp_sent,6
6,10,CURRENT_icmp_recv,6
3,10,CURRENT_icmp_sent,6
3,10,CURRENT_icmp_recv,6
2,11,CURRENT_icmp_sent,4
2,11,CURRENT_icmp_recv,2
8,11,CURRENT_icmp_sent,4
8,11,CURRENT_icmp_recv,4
4,11,CURRENT_icmp_sent,3
4,11,CURRENT_icmp_recv,5
6,11,CURRENT_icmp_sent,6
6,11,CURRENT_icmp_recv,4
3,11,CURRENT_icmp_sent,4
3,11,CURRENT_icmp_recv,4
2,12,CURRENT_icmp_sent,4
2,12,CURRENT_icmp_recv,4
8,12,CURRENT_icmp_sent,3
8,12,CURRENT_icmp_recv,1
4,12,CURRENT_icmp_sent,8
4,12,CURRENT_icmp_recv,6
6,12,CURRENT_icmp_sent,8
6,12,CURRENT_icmp_recv,6
3,12,CURRENT_icmp_sent,8
3,12,CURRENT_icmp_recv,6
2,13,CURRENT_icmp_sent,5
2,13,CURRENT_icmp_recv,2
8,13,CURRENT_icmp_sent,4
8,13,CURRENT_icmp_recv,5
4,13,CURRENT_icmp_sent,4
4,13,CURRENT_icmp_recv,7
6,13,CURRENT_icmp_sent,5
6,13,CURRENT_icmp_recv,6
3,13,CURRENT_icmp_sent,5
3,13,CURRENT_icmp_recv,5
2,14,CURRENT_icmp_sent,5
2,14,CURRENT_icmp_recv,3
8,14,CURRENT_icmp_sent,3
8,14,CURRENT_icmp_recv,3
4,14,CURRENT_icmp_sent,7
4,14,CURRENT_icmp_recv,6
6,14,CURRENT_icmp_sent,9
6,14,CURRENT_icmp_recv,7
3,14,CURRENT_icmp_sent,7
3,14,CURRENT_icmp_recv,7
2,15,CURRENT_icmp_sent,2
2,15,CURRENT_icmp_recv,2
8,15,CURRENT_icmp_sent,4
8,15,CURRENT_icmp_recv,2
4,15,CURRENT_icmp_sent,2
4,15,CURRENT_icmp_recv,3
6,15,CURRENT_icmp_sent,4
6,15,CURRENT_icmp_recv,2
3,15,CURRENT_icmp_sent,3
3,15,CURRENT_icmp_recv,3
2,16,CURRENT_icmp_sent,4
2,16,CURRENT_icmp_recv,1
8,16,CURRENT_icmp_sent,3
8,16,CURRENT_icmp_recv,3
4,16,CURRENT_icmp_sent,4
4,16,CURRENT_icmp_recv,5
6,16,CURRENT_icmp_sent,6
6,16,CURRENT_icmp_recv,4
3,16,CURRENT_icmp_sent,6
3,16,CURRENT_icmp_recv,5
2,17,CURRENT_icmp_sent,5
2,17,CURRENT_icmp_recv,2
8,17,CURRENT_icmp_sent,4
8,17,CURRENT_icmp_recv,5
4,17,CURRENT_icmp_sent,5
4,17,CURRENT_icmp_recv,8
