NODE,TIME,DATA TYPE,VALUES
"6	R",13,TOTAL_icmp_sent,105
"6	R",13,TOTAL_icmp_recv,98
"3	R",13,TOTAL_icmp_sent,93
"3	R",13,TOTAL_icmp_recv,97
"2	R",14,TOTAL_icmp_sent,68
"2	R",14,TOTAL_icmp_recv,43
"8	R",14,TOTAL_icmp_sent,65
"8	R",14,TOTAL_icmp_recv,70
"4	R",14,TOTAL_icmp_sent,84
"4	R",14,TOTAL_icmp_recv,95
"6	R",14,TOTAL_icmp_sent,112
"6	R",14,TOTAL_icmp_recv,102
"3	R",14,TOTAL_icmp_sent,98
"3	R",14,TOTAL_icmp_recv,102
"2	R",15,TOTAL_icmp_sent,71
"2	R",15,TOTAL_icmp_recv,45
"8	R",15,TOTAL_icmp_sent,68
"8	R",15,TOTAL_icmp_recv,72
"4	R",15,TOTAL_icmp_sent,88
"4	R",15,TOTAL_icmp_recv,100
"6	R",15,TOTAL_icmp_sent,118
"6	R",15,TOTAL_icmp_recv,106
"3	R",15,TOTAL_icmp_sent,104
"3	R",15,TOTAL_icmp_recv,107
"2	R",16,TOTAL_icmp_sent,75
"2	R",16,TOTAL_icmp_recv,47
"8	R",16,TOTAL_icmp_sent,72
"8	R",16,TOTAL_icmp_recv,76
"4	R",16,TOTAL_icmp_sent,92
"4	R",16,TOTAL_icmp_recv,106
"6	R",16,TOTAL_icmp_sent,125
"6	R",16,TOTAL_icmp_recv,110
"3	R",16,TOTAL_icmp_sent,111
"3	R",16,TOTAL_icmp_recv,112
"2	R",17,TOTAL_icmp_sent,79
"2	R",17,TOTAL_icmp_recv,50
"8	R",17,TOTAL_icmp_sent,77
"8	R",17,TOTAL_icmp_recv,81
"4	R",17,TOTAL_icmp_sent,98
"4	R",17,TOTAL_icmp_recv,112
"6	R",17,TOTAL_icmp_sent,133
"6	R",17,TOTAL_icmp_recv,119
"3	R",17,TOTAL_icmp_sent,118
"3	R",17,TOTAL_icmp_recv,120
"2	R",18,TOTAL_icmp_sent,81
"2	R",18,TOTAL_icmp_recv,52
"8	R",18,TOTAL_icmp_sent,80
"8	R",18,TOTAL_icmp_recv,84
"4	R",18,TOTAL_icmp_sent,101
"4	R",18,TOTAL_icmp_recv,115
"6	R",18,TOTAL_icmp_sent,138
"6	R",18,TOTAL_icmp_recv,121
"3	R",18,TOTAL_icmp_sent,122
"3	R",18,TOTAL_icmp_recv,124
"2	R",19,TOTAL_icmp_sent,85
"2	R",19,TOTAL_icmp_recv,54
"8	R",19,TOTAL_icmp_sent,82
"8	R",19,TOTAL_icmp_recv,86
"4	R",19,TOTAL_icmp_sent,105
"4	R",19,TOTAL_icmp_recv,120
"6	R",19,TOTAL_icmp_sent,143
"6	R",19,TOTAL_icmp_recv,125
"3	R",19,TOTAL_icmp_sent,127
"3	R",19,TOTAL_icmp_recv,128
"2	R",20,TOTAL_icmp_sent,89
"2	R",20,TOTAL_icmp_recv,56
"8	R",20,TOTAL_icmp_sent,86
"8	R",20,TOTAL_icmp_recv,91
"4	R",20,TOTAL_icmp_sent,111
"4	R",20,TOTAL_icmp_recv,127
"6	R",20,TOTAL_icmp_sent,153
"6	R",20,TOTAL_icmp_recv,134
"3	R",20,TOTAL_icmp_sent,137
"3	R",20,TOTAL_icmp_recv,135
"2	R",21,TOTAL_icmp_sent,93
"2	R",21,TOTAL_icmp_recv,58
"8	R",21,TOTAL_icmp_sent,89
"8	R",21,TOTAL_icmp_recv,94
"4	R",21,TOTAL_icmp_sent,114
"4	R",21,TOTAL_icmp_recv,132
"6	R",21,TOTAL_icmp_sent,159
"6	R",21,TOTAL_icmp_recv,137
"3	R",21,TOTAL_icmp_sent,141
"3	R",21,TOTAL_icmp_recv,138
"2	R",22,TOTAL_icmp_sent,95
"2	R",22,TOTAL_icmp_recv,59
"8	R",22,TOTAL_icmp_sent,92
"8	R",22,TOTAL_icmp_recv,97
"4	R",22,TOTAL_icmp_sent,117
"4	R",22,TOTAL_icmp_recv,136
"6	R",22,TOTAL_icmp_sent,165
