NODE,TIME,DATA TYPE,VALUES
41 R,1,TOTAL_icmp_sent,13
41 R,1,CURRENT_icmp_sent,13
36 R,1,CURRENT_icmp_sent,15
41 R,1,CURRENT_icmp_recv,140
36 R,1,CURRENT_icmp_recv,63
26 R,1,CURRENT_icmp_sent,13
26 R,1,CURRENT_icmp_recv,73
10 R,1,CURRENT_icmp_sent,15
10 R,1,CURRENT_icmp_recv,65
50 R,1,CURRENT_icmp_sent,12
50 R,1,CURRENT_icmp_recv,59
52 R,1,CURRENT_icmp_sent,13
52 R,1,CURRENT_icmp_recv,136
30 R,1,CURRENT_icmp_sent,13
30 R,1,CURRENT_icmp_recv,90
13 R,1,CURRENT_icmp_sent,23
13 R,1,CURRENT_icmp_recv,171
33 R,1,CURRENT_icmp_sent,12
33 R,1,CURRENT_icmp_recv,104
47 R,1,CURRENT_icmp_sent,15
46 R,1,CURRENT_icmp_sent,13
47 R,1,CURRENT_icmp_recv,75
46 R,1,CURRENT_icmp_recv,69
37 R,1,CURRENT_icmp_sent,43
37 R,1,CURRENT_icmp_recv,175
2 R,1,CURRENT_icmp_sent,22
2 R,1,CURRENT_icmp_recv,140
32 R,1,CURRENT_icmp_sent,15
32 R,1,CURRENT_icmp_recv,96
8 R,1,CURRENT_icmp_sent,13
8 R,1,CURRENT_icmp_recv,72
20 R,1,CURRENT_icmp_sent,14
20 R,1,CURRENT_icmp_recv,149
4 R,1,CURRENT_icmp_sent,16
4 R,1,CURRENT_icmp_recv,53
35 R,1,CURRENT_icmp_sent,22
35 R,1,CURRENT_icmp_recv,66
29 R,1,CURRENT_icmp_sent,14
29 R,1,CURRENT_icmp_recv,81
43 R,1,CURRENT_icmp_sent,14
43 R,1,CURRENT_icmp_recv,66
9 R,1,CURRENT_icmp_sent,16
9 R,1,CURRENT_icmp_recv,112
49 R,1,CURRENT_icmp_sent,13
42 R,1,CURRENT_icmp_sent,13
49 R,1,CURRENT_icmp_recv,99
42 R,1,CURRENT_icmp_recv,131
16 R,1,CURRENT_icmp_sent,13
16 R,1,CURRENT_icmp_recv,127
17 R,1,CURRENT_icmp_sent,15
17 R,1,CURRENT_icmp_recv,113
48 R,1,CURRENT_icmp_sent,15
48 R,1,CURRENT_icmp_recv,146
18 R,1,CURRENT_icmp_sent,14
22 R,1,CURRENT_icmp_sent,13
39 R,1,CURRENT_icmp_sent,13
18 R,1,CURRENT_icmp_recv,59
22 R,1,CURRENT_icmp_recv,93
39 R,1,CURRENT_icmp_recv,99
27 R,1,CURRENT_icmp_sent,28
27 R,1,CURRENT_icmp_recv,155
12 R,1,CURRENT_icmp_sent,16
12 R,1,CURRENT_icmp_recv,77
14 R,1,CURRENT_icmp_sent,11
14 R,1,CURRENT_icmp_recv,144
51 R,1,CURRENT_icmp_sent,15
51 R,1,CURRENT_icmp_recv,148
31 R,1,CURRENT_icmp_sent,13
31 R,1,CURRENT_icmp_recv,132
24 R,1,CURRENT_icmp_sent,13
24 R,1,CURRENT_icmp_recv,82
53 R,1,CURRENT_icmp_sent,12
53 R,1,CURRENT_icmp_recv,130
28 R,1,CURRENT_icmp_sent,13
28 R,1,CURRENT_icmp_recv,57
11 R,1,CURRENT_icmp_sent,13
11 R,1,CURRENT_icmp_recv,100
45 R,1,CURRENT_icmp_sent,19
45 R,1,CURRENT_icmp_recv,136
21 R,1,CURRENT_icmp_sent,14
44 R,1,CURRENT_icmp_sent,13
21 R,1,CURRENT_icmp_recv,146
44 R,1,CURRENT_icmp_recv,61
6 R,1,CURRENT_icmp_sent,20
6 R,1,CURRENT_icmp_recv,144
40 R,1,CURRENT_icmp_sent,14
40 R,1,CURRENT_icmp_recv,117
19 R,1,CURRENT_icmp_sent,13
19 R,1,CURRENT_icmp_recv,82
38 R,1,CURRENT_icmp_sent,15
38 R,1,CURRENT_icmp_recv,107
15 R,1,CURRENT_icmp_sent,16
3 R,1,CURRENT_icmp_sent,13
15 R,1,CURRENT_icmp_recv,100
3 R,1,CURRENT_icmp_recv,105
23 R,1,CURRENT_icmp_sent,13
23 R,1,CURRENT_icmp_recv,98
25 R,1,CURRENT_icmp_sent,14
25 R,1,CURRENT_icmp_recv,80
34 R,1,CURRENT_icmp_sent,14
34 R,1,CURRENT_icmp_recv,141
36 R,2,CURRENT_icmp_sent,4
36 R,2,CURRENT_icmp_recv,11
41 R,2,CURRENT_icmp_sent,13
41 R,2,CURRENT_icmp_recv,45
26 R,2,CURRENT_icmp_sent,5
26 R,2,CURRENT_icmp_recv,19
10 R,2,CURRENT_icmp_sent,4
10 R,2,CURRENT_icmp_recv,25
50 R,2,CURRENT_icmp_sent,5
50 R,2,CURRENT_icmp_recv,22
52 R,2,CURRENT_icmp_sent,5
52 R,2,CURRENT_icmp_recv,65
30 R,2,CURRENT_icmp_sent,4
30 R,2,CURRENT_icmp_recv,50
13 R,2,CURRENT_icmp_sent,22
13 R,2,CURRENT_icmp_recv,73
33 R,2,CURRENT_icmp_sent,6
33 R,2,CURRENT_icmp_recv,44
37 R,2,CURRENT_icmp_sent,26
37 R,2,CURRENT_icmp_recv,72
46 R,2,CURRENT_icmp_sent,4
46 R,2,CURRENT_icmp_recv,11
2 R,2,CURRENT_icmp_sent,10
47 R,2,CURRENT_icmp_sent,14
2 R,2,CURRENT_icmp_recv,34
47 R,2,CURRENT_icmp_recv,32
32 R,2,CURRENT_icmp_sent,12
32 R,2,CURRENT_icmp_recv,32
8 R,2,CURRENT_icmp_sent,4
8 R,2,CURRENT_icmp_recv,20
4 R,2,CURRENT_icmp_sent,4
4 R,2,CURRENT_icmp_recv,21
35 R,2,CURRENT_icmp_sent,5
35 R,2,CURRENT_icmp_recv,33
20 R,2,CURRENT_icmp_sent,28
20 R,2,CURRENT_icmp_recv,109
