NODE,TIME,DATA TYPE,VALUES
"8	R",7,TOTAL_icmp_sent,40
"8	R",7,TOTAL_icmp_recv,67
"4	R",7,TOTAL_icmp_sent,47
"4	R",7,TOTAL_icmp_recv,53
"9	R",7,TOTAL_icmp_sent,39
"9	R",7,TOTAL_icmp_recv,69
"12	R",7,TOTAL_icmp_sent,39
"12	R",7,TOTAL_icmp_recv,88
"11	R",7,TOTAL_icmp_sent,39
"11	R",7,TOTAL_icmp_recv,39
"6	R",7,TOTAL_icmp_sent,68
"6	R",7,TOTAL_icmp_recv,65
"3	R",7,TOTAL_icmp_sent,60
"3	R",7,TOTAL_icmp_recv,60
"10	R",8,TOTAL_icmp_sent,82
"10	R",8,TOTAL_icmp_recv,90
"13	R",8,TOTAL_icmp_sent,95
"13	R",8,TOTAL_icmp_recv,87
"2	R",8,TOTAL_icmp_sent,47
"2	R",8,TOTAL_icmp_recv,44
"8	R",8,TOTAL_icmp_sent,44
"8	R",8,TOTAL_icmp_recv,71
"4	R",8,TOTAL_icmp_sent,52
"4	R",8,TOTAL_icmp_recv,58
"9	R",8,TOTAL_icmp_sent,44
"9	R",8,TOTAL_icmp_recv,72
"12	R",8,TOTAL_icmp_sent,42
"12	R",8,TOTAL_icmp_recv,93
"11	R",8,TOTAL_icmp_sent,41
"11	R",8,TOTAL_icmp_recv,43
"6	R",8,TOTAL_icmp_sent,74
"6	R",8,TOTAL_icmp_recv,69
"3	R",8,TOTAL_icmp_sent,66
"3	R",8,TOTAL_icmp_recv,65
"10	R",9,TOTAL_icmp_sent,90
"10	R",9,TOTAL_icmp_recv,95
"13	R",9,TOTAL_icmp_sent,103
"13	R",9,TOTAL_icmp_recv,94
"2	R",9,TOTAL_icmp_sent,50
"2	R",9,TOTAL_icmp_recv,48
"8	R",9,TOTAL_icmp_sent,46
"8	R",9,TOTAL_icmp_recv,77
"4	R",9,TOTAL_icmp_sent,56
"4	R",9,TOTAL_icmp_recv,61
"9	R",9,TOTAL_icmp_sent,48
"9	R",9,TOTAL_icmp_recv,79
"12	R",9,TOTAL_icmp_sent,46
"12	R",9,TOTAL_icmp_recv,101
"11	R",9,TOTAL_icmp_sent,46
"11	R",9,TOTAL_icmp_recv,45
"6	R",9,TOTAL_icmp_sent,80
"6	R",9,TOTAL_icmp_recv,71
"3	R",9,TOTAL_icmp_sent,71
"3	R",9,TOTAL_icmp_recv,69
"10	R",10,TOTAL_icmp_sent,95
"10	R",10,TOTAL_icmp_recv,99
"13	R",10,TOTAL_icmp_sent,107
"13	R",10,TOTAL_icmp_recv,97
"2	R",10,TOTAL_icmp_sent,53
"2	R",10,TOTAL_icmp_recv,51
"8	R",10,TOTAL_icmp_sent,50
"8	R",10,TOTAL_icmp_recv,80
"4	R",10,TOTAL_icmp_sent,61
"4	R",10,TOTAL_icmp_recv,64
"9	R",10,TOTAL_icmp_sent,51
"9	R",10,TOTAL_icmp_recv,83
"12	R",10,TOTAL_icmp_sent,48
"12	R",10,TOTAL_icmp_recv,106
"11	R",10,TOTAL_icmp_sent,50
"11	R",10,TOTAL_icmp_recv,48
"6	R",10,TOTAL_icmp_sent,86
"6	R",10,TOTAL_icmp_recv,77
"3	R",10,TOTAL_icmp_sent,77
"3	R",10,TOTAL_icmp_recv,73
"10	R",11,TOTAL_icmp_sent,103
"10	R",11,TOTAL_icmp_recv,104
"13	R",11,TOTAL_icmp_sent,117
"13	R",11,TOTAL_icmp_recv,104
"2	R",11,TOTAL_icmp_sent,57
"2	R",11,TOTAL_icmp_recv,53
"8	R",11,TOTAL_icmp_sent,54
"8	R",11,TOTAL_icmp_recv,86
"4	R",11,TOTAL_icmp_sent,66
"4	R",11,TOTAL_icmp_recv,67
"9	R",11,TOTAL_icmp_sent,54
"9	R",11,TOTAL_icmp_recv,88
"12	R",11,TOTAL_icmp_sent,52
"12	R",11,TOTAL_icmp_recv,112
"11	R",11,TOTAL_icmp_sent,54
"11	R",11,TOTAL_icmp_recv,50
"6	R",11,TOTAL_icmp_sent,94
"6	R",11,TOTAL_icmp_recv,83
"3	R",11,TOTAL_icmp_sent,83
"3	R",11,TOTAL_icmp_recv,77
"10	R",12,TOTAL_icmp_sent,108
"10	R",12,TOTAL_icmp_recv,108
"13	R",12,TOTAL_icmp_sent,125
"13	R",12,TOTAL_icmp_recv,108
"2	R",12,TOTAL_icmp_sent,62
"2	R",12,TOTAL_icmp_recv,57
"8	R",12,TOTAL_icmp_sent,57
"8	R",12,TOTAL_icmp_recv,89
"4	R",12,TOTAL_icmp_sent,72
"4	R",12,TOTAL_icmp_recv,71
"9	R",12,TOTAL_icmp_sent,58
"9	R",12,TOTAL_icmp_recv,92
"12	R",12,TOTAL_icmp_sent,54
"12	R",12,TOTAL_icmp_recv,117
"11	R",12,TOTAL_icmp_sent,57
"11	R",12,TOTAL_icmp_recv,52
"6	R",12,TOTAL_icmp_sent,101
"6	R",12,TOTAL_icmp_recv,87
"3	R",12,TOTAL_icmp_sent,90
"3	R",12,TOTAL_icmp_recv,82
"10	R",13,TOTAL_icmp_sent,114
"10	R",13,TOTAL_icmp_recv,112
"13	R",13,TOTAL_icmp_sent,132
