NODE,TIME,DATA TYPE,VALUES
28 R,1,CURRENT_icmp_sent,15
28 R,1,CURRENT_icmp_recv,42
58 R,1,CURRENT_icmp_sent,14
58 R,1,CURRENT_icmp_recv,33
11 R,1,CURRENT_icmp_sent,14
84 R,1,CURRENT_icmp_sent,15
11 R,1,CURRENT_icmp_recv,39
84 R,1,CURRENT_icmp_recv,34
44 R,1,CURRENT_icmp_sent,13
44 R,1,CURRENT_icmp_recv,15
21 R,1,CURRENT_icmp_sent,58
21 R,1,CURRENT_icmp_recv,82
6 R,1,CURRENT_icmp_sent,20
6 R,1,CURRENT_icmp_recv,68
82 R,1,CURRENT_icmp_sent,12
82 R,1,CURRENT_icmp_recv,22
89 R,1,CURRENT_icmp_sent,22
89 R,1,CURRENT_icmp_recv,47
92 R,1,CURRENT_icmp_sent,38
40 R,1,CURRENT_icmp_sent,22
92 R,1,CURRENT_icmp_recv,75
40 R,1,CURRENT_icmp_recv,45
19 R,1,CURRENT_icmp_sent,19
19 R,1,CURRENT_icmp_recv,37
75 R,1,CURRENT_icmp_sent,16
75 R,1,CURRENT_icmp_recv,20
85 R,1,CURRENT_icmp_sent,31
85 R,1,CURRENT_icmp_recv,77
86 R,1,CURRENT_icmp_sent,17
86 R,1,CURRENT_icmp_recv,52
15 R,1,CURRENT_icmp_sent,13
15 R,1,CURRENT_icmp_recv,23
38 R,1,CURRENT_icmp_sent,82
61 R,1,CURRENT_icmp_sent,21
61 R,1,CURRENT_icmp_recv,60
38 R,1,CURRENT_icmp_recv,119
23 R,1,CURRENT_icmp_sent,36
3 R,1,CURRENT_icmp_sent,58
23 R,1,CURRENT_icmp_recv,65
3 R,1,CURRENT_icmp_recv,95
25 R,1,CURRENT_icmp_sent,20
25 R,1,CURRENT_icmp_recv,60
59 R,1,CURRENT_icmp_sent,12
59 R,1,CURRENT_icmp_recv,20
93 R,1,CURRENT_icmp_sent,14
93 R,1,CURRENT_icmp_recv,46
34 R,1,CURRENT_icmp_sent,39
34 R,1,CURRENT_icmp_recv,68
78 R,2,CURRENT_icmp_sent,9
78 R,2,CURRENT_icmp_recv,20
71 R,2,CURRENT_icmp_sent,4
71 R,2,CURRENT_icmp_recv,13
36 R,2,CURRENT_icmp_sent,6
36 R,2,CURRENT_icmp_recv,8
41 R,2,CURRENT_icmp_sent,13
41 R,2,CURRENT_icmp_recv,20
26 R,2,CURRENT_icmp_sent,9
26 R,2,CURRENT_icmp_recv,23
72 R,2,CURRENT_icmp_sent,21
72 R,2,CURRENT_icmp_recv,36
87 R,2,CURRENT_icmp_sent,5
87 R,2,CURRENT_icmp_recv,8
10 R,2,CURRENT_icmp_sent,5
10 R,2,CURRENT_icmp_recv,11
69 R,2,CURRENT_icmp_sent,22
69 R,2,CURRENT_icmp_recv,34
50 R,2,CURRENT_icmp_sent,5
50 R,2,CURRENT_icmp_recv,25
81 R,2,CURRENT_icmp_sent,5
81 R,2,CURRENT_icmp_recv,19
62 R,2,CURRENT_icmp_sent,12
62 R,2,CURRENT_icmp_recv,8
52 R,2,CURRENT_icmp_sent,71
52 R,2,CURRENT_icmp_recv,117
57 R,2,CURRENT_icmp_sent,10
30 R,2,CURRENT_icmp_sent,6
57 R,2,CURRENT_icmp_recv,48
30 R,2,CURRENT_icmp_recv,11
13 R,2,CURRENT_icmp_sent,26
91 R,2,CURRENT_icmp_sent,5
13 R,2,CURRENT_icmp_recv,37
91 R,2,CURRENT_icmp_recv,3
33 R,2,CURRENT_icmp_sent,26
33 R,2,CURRENT_icmp_recv,31
37 R,2,CURRENT_icmp_sent,4
37 R,2,CURRENT_icmp_recv,5
56 R,2,CURRENT_icmp_sent,9
56 R,2,CURRENT_icmp_recv,39
47 R,2,CURRENT_icmp_sent,16
47 R,2,CURRENT_icmp_recv,44
90 R,2,CURRENT_icmp_sent,41
46 R,2,CURRENT_icmp_sent,20
90 R,2,CURRENT_icmp_recv,80
46 R,2,CURRENT_icmp_recv,35
74 R,2,CURRENT_icmp_sent,24
74 R,2,CURRENT_icmp_recv,28
2 R,2,CURRENT_icmp_sent,43
2 R,2,CURRENT_icmp_recv,50
32 R,2,CURRENT_icmp_sent,5
32 R,2,CURRENT_icmp_recv,12
83 R,2,CURRENT_icmp_sent,5
83 R,2,CURRENT_icmp_recv,14
8 R,2,CURRENT_icmp_sent,15
8 R,2,CURRENT_icmp_recv,22
79 R,2,CURRENT_icmp_sent,8
79 R,2,CURRENT_icmp_recv,22
88 R,2,CURRENT_icmp_sent,11
88 R,2,CURRENT_icmp_recv,10
67 R,2,CURRENT_icmp_sent,14
67 R,2,CURRENT_icmp_recv,16
70 R,2,CURRENT_icmp_sent,12
70 R,2,CURRENT_icmp_recv,45
65 R,2,CURRENT_icmp_sent,36
65 R,2,CURRENT_icmp_recv,68
20 R,2,CURRENT_icmp_sent,35
20 R,2,CURRENT_icmp_recv,71
4 R,2,CURRENT_icmp_sent,26
35 R,2,CURRENT_icmp_sent,5
4 R,2,CURRENT_icmp_recv,17
35 R,2,CURRENT_icmp_recv,8
29 R,2,CURRENT_icmp_sent,48
29 R,2,CURRENT_icmp_recv,72
43 R,2,CURRENT_icmp_sent,12
43 R,2,CURRENT_icmp_recv,25
66 R,2,CURRENT_icmp_sent,27
66 R,2,CURRENT_icmp_recv,34
9 R,2,CURRENT_icmp_sent,7
9 R,2,CURRENT_icmp_recv,34
68 R,2,CURRENT_icmp_sent,41
68 R,2,CURRENT_icmp_recv,62
55 R,2,CURRENT_icmp_sent,6
49 R,2,CURRENT_icmp_sent,18
55 R,2,CURRENT_icmp_recv,6
42 R,2,CURRENT_icmp_sent,13
49 R,2,CURRENT_icmp_recv,27
42 R,2,CURRENT_icmp_recv,10
63 R,2,CURRENT_icmp_sent,5
63 R,2,CURRENT_icmp_recv,17
16 R,2,CURRENT_icmp_sent,19
16 R,2,CURRENT_icmp_recv,28
17 R,2,CURRENT_icmp_sent,5
17 R,2,CURRENT_icmp_recv,13
48 R,2,CURRENT_icmp_sent,38
48 R,2,CURRENT_icmp_recv,52
27 R,2,CURRENT_icmp_sent,17
80 R,2,CURRENT_icmp_sent,23
27 R,2,CURRENT_icmp_recv,38
80 R,2,CURRENT_icmp_recv,46
39 R,2,CURRENT_icmp_sent,23
18 R,2,CURRENT_icmp_sent,13
39 R,2,CURRENT_icmp_recv,26
18 R,2,CURRENT_icmp_recv,42
64 R,2,CURRENT_icmp_sent,48
60 R,2,CURRENT_icmp_sent,15
64 R,2,CURRENT_icmp_recv,64
60 R,2,CURRENT_icmp_recv,15
54 R,2,CURRENT_icmp_sent,26
54 R,2,CURRENT_icmp_recv,31
22 R,2,CURRENT_icmp_sent,46
22 R,2,CURRENT_icmp_recv,62
76 R,2,CURRENT_icmp_sent,32
76 R,2,CURRENT_icmp_recv,44
12 R,2,CURRENT_icmp_sent,13
12 R,2,CURRENT_icmp_recv,28
73 R,2,CURRENT_icmp_sent,12
73 R,2,CURRENT_icmp_recv,19
14 R,2,CURRENT_icmp_sent,12
14 R,2,CURRENT_icmp_recv,37
51 R,2,CURRENT_icmp_sent,7
77 R,2,CURRENT_icmp_sent,38
51 R,2,CURRENT_icmp_recv,46
77 R,2,CURRENT_icmp_recv,41
31 R,2,CURRENT_icmp_sent,12
31 R,2,CURRENT_icmp_recv,27
24 R,2,CURRENT_icmp_sent,14
24 R,2,CURRENT_icmp_recv,29
53 R,2,CURRENT_icmp_sent,40
53 R,2,CURRENT_icmp_recv,56
45 R,2,CURRENT_icmp_sent,16
58 R,2,CURRENT_icmp_sent,4
45 R,2,CURRENT_icmp_recv,25
28 R,2,CURRENT_icmp_sent,15
58 R,2,CURRENT_icmp_recv,31
28 R,2,CURRENT_icmp_recv,23
11 R,2,CURRENT_icmp_sent,4
84 R,2,CURRENT_icmp_sent,23
11 R,2,CURRENT_icmp_recv,23
84 R,2,CURRENT_icmp_recv,27
44 R,2,CURRENT_icmp_sent,20
21 R,2,CURRENT_icmp_sent,26
6 R,2,CURRENT_icmp_sent,24
44 R,2,CURRENT_icmp_recv,10
21 R,2,CURRENT_icmp_recv,43
6 R,2,CURRENT_icmp_recv,37
82 R,2,CURRENT_icmp_sent,19
82 R,2,CURRENT_icmp_recv,17
89 R,2,CURRENT_icmp_sent,36
89 R,2,CURRENT_icmp_recv,43
40 R,2,CURRENT_icmp_sent,22
40 R,2,CURRENT_icmp_recv,42
92 R,2,CURRENT_icmp_sent,31
92 R,2,CURRENT_icmp_recv,49
19 R,2,CURRENT_icmp_sent,15
19 R,2,CURRENT_icmp_recv,30
75 R,2,CURRENT_icmp_sent,11
75 R,2,CURRENT_icmp_recv,26
85 R,2,CURRENT_icmp_sent,22
85 R,2,CURRENT_icmp_recv,63
86 R,2,CURRENT_icmp_sent,9
86 R,2,CURRENT_icmp_recv,29
15 R,2,CURRENT_icmp_sent,4
15 R,2,CURRENT_icmp_recv,13
38 R,2,CURRENT_icmp_sent,69
38 R,2,CURRENT_icmp_recv,83
3 R,2,CURRENT_icmp_sent,22
3 R,2,CURRENT_icmp_recv,47
61 R,2,CURRENT_icmp_sent,18
61 R,2,CURRENT_icmp_recv,69
23 R,2,CURRENT_icmp_sent,28
23 R,2,CURRENT_icmp_recv,46
25 R,2,CURRENT_icmp_sent,22
25 R,2,CURRENT_icmp_recv,72
34 R,2,CURRENT_icmp_sent,27
34 R,2,CURRENT_icmp_recv,60
59 R,2,CURRENT_icmp_sent,19
59 R,2,CURRENT_icmp_recv,27
93 R,2,CURRENT_icmp_sent,18
93 R,2,CURRENT_icmp_recv,31
78 R,3,CURRENT_icmp_sent,6
78 R,3,CURRENT_icmp_recv,6
71 R,3,CURRENT_icmp_sent,4
71 R,3,CURRENT_icmp_recv,7
41 R,3,CURRENT_icmp_sent,5
36 R,3,CURRENT_icmp_sent,4
41 R,3,CURRENT_icmp_recv,16
36 R,3,CURRENT_icmp_recv,7
26 R,3,CURRENT_icmp_sent,6
26 R,3,CURRENT_icmp_recv,9
72 R,3,CURRENT_icmp_sent,7
72 R,3,CURRENT_icmp_recv,10
87 R,3,CURRENT_icmp_sent,4
87 R,3,CURRENT_icmp_recv,3
10 R,3,CURRENT_icmp_sent,5
10 R,3,CURRENT_icmp_recv,9
69 R,3,CURRENT_icmp_sent,13
69 R,3,CURRENT_icmp_recv,18
50 R,3,CURRENT_icmp_sent,6
50 R,3,CURRENT_icmp_recv,17
81 R,3,CURRENT_icmp_sent,4
81 R,3,CURRENT_icmp_recv,12
62 R,3,CURRENT_icmp_sent,5
62 R,3,CURRENT_icmp_recv,9
52 R,3,CURRENT_icmp_sent,38
52 R,3,CURRENT_icmp_recv,65
30 R,3,CURRENT_icmp_sent,5
57 R,3,CURRENT_icmp_sent,16
30 R,3,CURRENT_icmp_recv,3
57 R,3,CURRENT_icmp_recv,35
13 R,3,CURRENT_icmp_sent,21
91 R,3,CURRENT_icmp_sent,4
13 R,3,CURRENT_icmp_recv,17
91 R,3,CURRENT_icmp_recv,2
33 R,3,CURRENT_icmp_sent,7
33 R,3,CURRENT_icmp_recv,15
37 R,3,CURRENT_icmp_sent,5
37 R,3,CURRENT_icmp_recv,6
56 R,3,CURRENT_icmp_sent,7
90 R,3,CURRENT_icmp_sent,10
56 R,3,CURRENT_icmp_recv,12
90 R,3,CURRENT_icmp_recv,31
46 R,3,CURRENT_icmp_sent,12
46 R,3,CURRENT_icmp_recv,13
47 R,3,CURRENT_icmp_sent,12
47 R,3,CURRENT_icmp_recv,21
74 R,3,CURRENT_icmp_sent,5
74 R,3,CURRENT_icmp_recv,10
2 R,3,CURRENT_icmp_sent,18
2 R,3,CURRENT_icmp_recv,23
32 R,3,CURRENT_icmp_sent,5
32 R,3,CURRENT_icmp_recv,12
8 R,3,CURRENT_icmp_sent,5
83 R,3,CURRENT_icmp_sent,4
8 R,3,CURRENT_icmp_recv,10
83 R,3,CURRENT_icmp_recv,6
79 R,3,CURRENT_icmp_sent,8
79 R,3,CURRENT_icmp_recv,9
88 R,3,CURRENT_icmp_sent,5
88 R,3,CURRENT_icmp_recv,7
67 R,3,CURRENT_icmp_sent,5
67 R,3,CURRENT_icmp_recv,4
70 R,3,CURRENT_icmp_sent,6
70 R,3,CURRENT_icmp_recv,12
20 R,3,CURRENT_icmp_sent,23
20 R,3,CURRENT_icmp_recv,25
65 R,3,CURRENT_icmp_sent,17
4 R,3,CURRENT_icmp_sent,11
65 R,3,CURRENT_icmp_recv,20
4 R,3,CURRENT_icmp_recv,12
35 R,3,CURRENT_icmp_sent,4
35 R,3,CURRENT_icmp_recv,1
29 R,3,CURRENT_icmp_sent,12
29 R,3,CURRENT_icmp_recv,20
43 R,3,CURRENT_icmp_sent,4
43 R,3,CURRENT_icmp_recv,9
68 R,3,CURRENT_icmp_sent,23
68 R,3,CURRENT_icmp_recv,20
66 R,3,CURRENT_icmp_sent,10
66 R,3,CURRENT_icmp_recv,5
9 R,3,CURRENT_icmp_sent,4
9 R,3,CURRENT_icmp_recv,7
49 R,3,CURRENT_icmp_sent,5
42 R,3,CURRENT_icmp_sent,4
49 R,3,CURRENT_icmp_recv,12
42 R,3,CURRENT_icmp_recv,5
55 R,3,CURRENT_icmp_sent,6
55 R,3,CURRENT_icmp_recv,12
63 R,3,CURRENT_icmp_sent,11
63 R,3,CURRENT_icmp_recv,15
17 R,3,CURRENT_icmp_sent,3
16 R,3,CURRENT_icmp_sent,15
17 R,3,CURRENT_icmp_recv,5
16 R,3,CURRENT_icmp_recv,21
48 R,3,CURRENT_icmp_sent,51
27 R,3,CURRENT_icmp_sent,23
48 R,3,CURRENT_icmp_recv,63
27 R,3,CURRENT_icmp_recv,18
80 R,3,CURRENT_icmp_sent,10
80 R,3,CURRENT_icmp_recv,14
18 R,3,CURRENT_icmp_sent,5
39 R,3,CURRENT_icmp_sent,5
18 R,3,CURRENT_icmp_recv,6
39 R,3,CURRENT_icmp_recv,6
22 R,3,CURRENT_icmp_sent,16
64 R,3,CURRENT_icmp_sent,16
22 R,3,CURRENT_icmp_recv,14
64 R,3,CURRENT_icmp_recv,16
60 R,3,CURRENT_icmp_sent,6
60 R,3,CURRENT_icmp_recv,6
54 R,3,CURRENT_icmp_sent,10
54 R,3,CURRENT_icmp_recv,12
76 R,3,CURRENT_icmp_sent,14
76 R,3,CURRENT_icmp_recv,16
12 R,3,CURRENT_icmp_sent,5
12 R,3,CURRENT_icmp_recv,7
73 R,3,CURRENT_icmp_sent,12
73 R,3,CURRENT_icmp_recv,17
14 R,3,CURRENT_icmp_sent,8
14 R,3,CURRENT_icmp_recv,11
51 R,3,CURRENT_icmp_sent,4
51 R,3,CURRENT_icmp_recv,18
77 R,3,CURRENT_icmp_sent,7
31 R,3,CURRENT_icmp_sent,7
77 R,3,CURRENT_icmp_recv,22
31 R,3,CURRENT_icmp_recv,11
24 R,3,CURRENT_icmp_sent,6
24 R,3,CURRENT_icmp_recv,13
53 R,3,CURRENT_icmp_sent,20
53 R,3,CURRENT_icmp_recv,29
45 R,3,CURRENT_icmp_sent,4
45 R,3,CURRENT_icmp_recv,10
28 R,3,CURRENT_icmp_sent,11
58 R,3,CURRENT_icmp_sent,4
28 R,3,CURRENT_icmp_recv,16
58 R,3,CURRENT_icmp_recv,11
84 R,3,CURRENT_icmp_sent,7
11 R,3,CURRENT_icmp_sent,13
84 R,3,CURRENT_icmp_recv,10
11 R,3,CURRENT_icmp_recv,31
44 R,3,CURRENT_icmp_sent,6
21 R,3,CURRENT_icmp_sent,11
44 R,3,CURRENT_icmp_recv,1
21 R,3,CURRENT_icmp_recv,31
6 R,3,CURRENT_icmp_sent,9
6 R,3,CURRENT_icmp_recv,26
82 R,3,CURRENT_icmp_sent,6
82 R,3,CURRENT_icmp_recv,6
92 R,3,CURRENT_icmp_sent,16
92 R,3,CURRENT_icmp_recv,42
89 R,3,CURRENT_icmp_sent,14
89 R,3,CURRENT_icmp_recv,26
40 R,3,CURRENT_icmp_sent,11
40 R,3,CURRENT_icmp_recv,24
19 R,3,CURRENT_icmp_sent,5
19 R,3,CURRENT_icmp_recv,14
75 R,3,CURRENT_icmp_sent,4
75 R,3,CURRENT_icmp_recv,17
85 R,3,CURRENT_icmp_sent,14
85 R,3,CURRENT_icmp_recv,17
86 R,3,CURRENT_icmp_sent,7
86 R,3,CURRENT_icmp_recv,30
15 R,3,CURRENT_icmp_sent,5
15 R,3,CURRENT_icmp_recv,7
38 R,3,CURRENT_icmp_sent,53
38 R,3,CURRENT_icmp_recv,80
61 R,3,CURRENT_icmp_sent,30
61 R,3,CURRENT_icmp_recv,52
3 R,3,CURRENT_icmp_sent,21
3 R,3,CURRENT_icmp_recv,22
23 R,3,CURRENT_icmp_sent,14
23 R,3,CURRENT_icmp_recv,14
25 R,3,CURRENT_icmp_sent,20
25 R,3,CURRENT_icmp_recv,31
59 R,3,CURRENT_icmp_sent,6
59 R,3,CURRENT_icmp_recv,8
93 R,3,CURRENT_icmp_sent,15
34 R,3,CURRENT_icmp_sent,10
93 R,3,CURRENT_icmp_recv,24
34 R,3,CURRENT_icmp_recv,21
78 R,4,CURRENT_icmp_sent,5
78 R,4,CURRENT_icmp_recv,6
71 R,4,CURRENT_icmp_sent,5
71 R,4,CURRENT_icmp_recv,4
41 R,4,CURRENT_icmp_sent,5
36 R,4,CURRENT_icmp_sent,5
41 R,4,CURRENT_icmp_recv,6
36 R,4,CURRENT_icmp_recv,1
26 R,4,CURRENT_icmp_sent,6
26 R,4,CURRENT_icmp_recv,8
72 R,4,CURRENT_icmp_sent,7
72 R,4,CURRENT_icmp_recv,12
87 R,4,CURRENT_icmp_sent,5
87 R,4,CURRENT_icmp_recv,3
10 R,4,CURRENT_icmp_sent,3
10 R,4,CURRENT_icmp_recv,5
69 R,4,CURRENT_icmp_sent,7
69 R,4,CURRENT_icmp_recv,12
50 R,4,CURRENT_icmp_sent,9
50 R,4,CURRENT_icmp_recv,13
81 R,4,CURRENT_icmp_sent,5
81 R,4,CURRENT_icmp_recv,10
62 R,4,CURRENT_icmp_sent,2
62 R,4,CURRENT_icmp_recv,5
52 R,4,CURRENT_icmp_sent,28
52 R,4,CURRENT_icmp_recv,39
57 R,4,CURRENT_icmp_sent,8
30 R,4,CURRENT_icmp_sent,4
57 R,4,CURRENT_icmp_recv,20
30 R,4,CURRENT_icmp_recv,4
91 R,4,CURRENT_icmp_sent,5
13 R,4,CURRENT_icmp_sent,6
91 R,4,CURRENT_icmp_recv,3
13 R,4,CURRENT_icmp_recv,17
33 R,4,CURRENT_icmp_sent,6
33 R,4,CURRENT_icmp_recv,4
37 R,4,CURRENT_icmp_sent,4
37 R,4,CURRENT_icmp_recv,7
56 R,4,CURRENT_icmp_sent,5
90 R,4,CURRENT_icmp_sent,14
46 R,4,CURRENT_icmp_sent,5
56 R,4,CURRENT_icmp_recv,3
47 R,4,CURRENT_icmp_sent,5
90 R,4,CURRENT_icmp_recv,8
46 R,4,CURRENT_icmp_recv,8
47 R,4,CURRENT_icmp_recv,12
74 R,4,CURRENT_icmp_sent,5
74 R,4,CURRENT_icmp_recv,7
2 R,4,CURRENT_icmp_sent,11
2 R,4,CURRENT_icmp_recv,18
32 R,4,CURRENT_icmp_sent,2
32 R,4,CURRENT_icmp_recv,6
