NODE,TIME,DATA TYPE,VALUES
78 R,1,TOTAL_icmp_sent,27
78 R,1,TOTAL_icmp_recv,61
71 R,1,TOTAL_icmp_sent,20
71 R,1,TOTAL_icmp_recv,30
41 R,1,TOTAL_icmp_sent,23
36 R,1,TOTAL_icmp_sent,23
41 R,1,TOTAL_icmp_recv,70
36 R,1,TOTAL_icmp_recv,53
26 R,1,TOTAL_icmp_sent,24
26 R,1,TOTAL_icmp_recv,46
72 R,1,TOTAL_icmp_sent,14
72 R,1,TOTAL_icmp_recv,41
87 R,1,TOTAL_icmp_sent,16
87 R,1,TOTAL_icmp_recv,37
10 R,1,TOTAL_icmp_sent,16
10 R,1,TOTAL_icmp_recv,35
69 R,1,TOTAL_icmp_sent,16
69 R,1,TOTAL_icmp_recv,39
110 R,1,TOTAL_icmp_sent,12
110 R,1,TOTAL_icmp_recv,50
81 R,1,TOTAL_icmp_sent,14
81 R,1,TOTAL_icmp_recv,57
50 R,1,TOTAL_icmp_sent,17
62 R,1,TOTAL_icmp_sent,14
50 R,1,TOTAL_icmp_recv,62
96 R,1,TOTAL_icmp_sent,41
62 R,1,TOTAL_icmp_recv,47
96 R,1,TOTAL_icmp_recv,73
117 R,1,TOTAL_icmp_sent,14
52 R,1,TOTAL_icmp_sent,16
117 R,1,TOTAL_icmp_recv,31
52 R,1,TOTAL_icmp_recv,28
100 R,1,TOTAL_icmp_sent,18
100 R,1,TOTAL_icmp_recv,34
30 R,1,TOTAL_icmp_sent,23
30 R,1,TOTAL_icmp_recv,44
108 R,1,TOTAL_icmp_sent,13
106 R,1,TOTAL_icmp_sent,16
108 R,1,TOTAL_icmp_recv,39
106 R,1,TOTAL_icmp_recv,56
57 R,1,TOTAL_icmp_sent,17
57 R,1,TOTAL_icmp_recv,48
97 R,1,TOTAL_icmp_sent,22
97 R,1,TOTAL_icmp_recv,54
105 R,1,TOTAL_icmp_sent,22
105 R,1,TOTAL_icmp_recv,21
13 R,1,TOTAL_icmp_sent,19
13 R,1,TOTAL_icmp_recv,60
91 R,1,TOTAL_icmp_sent,11
91 R,1,TOTAL_icmp_recv,30
33 R,1,TOTAL_icmp_sent,30
33 R,1,TOTAL_icmp_recv,63
90 R,1,TOTAL_icmp_sent,16
56 R,1,TOTAL_icmp_sent,16
37 R,1,TOTAL_icmp_sent,20
