NODE,TIME,DATA TYPE,VALUES
78,1,CURRENT_icmp_sent,36
177,1,CURRENT_icmp_sent,27
202,1,CURRENT_icmp_sent,18
185,1,CURRENT_icmp_sent,23
78,1,CURRENT_icmp_recv,69
177,1,CURRENT_icmp_recv,47
202,1,CURRENT_icmp_recv,49
185,1,CURRENT_icmp_recv,51
172,1,CURRENT_icmp_sent,19
162,1,CURRENT_icmp_sent,12
71,1,CURRENT_icmp_sent,33
200,1,CURRENT_icmp_sent,23
172,1,CURRENT_icmp_recv,37
162,1,CURRENT_icmp_recv,41
71,1,CURRENT_icmp_recv,62
200,1,CURRENT_icmp_recv,40
41,1,CURRENT_icmp_sent,12
36,1,CURRENT_icmp_sent,21
180,1,CURRENT_icmp_sent,19
41,1,CURRENT_icmp_recv,15
145,1,CURRENT_icmp_sent,12
36,1,CURRENT_icmp_recv,49
180,1,CURRENT_icmp_recv,53
145,1,CURRENT_icmp_recv,31
26,1,CURRENT_icmp_sent,56
26,1,CURRENT_icmp_recv,82
159,1,CURRENT_icmp_sent,14
159,1,CURRENT_icmp_recv,19
72,1,CURRENT_icmp_sent,29
72,1,CURRENT_icmp_recv,62
10,1,CURRENT_icmp_sent,16
87,1,CURRENT_icmp_sent,48
10,1,CURRENT_icmp_recv,46
87,1,CURRENT_icmp_recv,83
69,1,CURRENT_icmp_sent,19
69,1,CURRENT_icmp_recv,39
155,1,CURRENT_icmp_sent,13
155,1,CURRENT_icmp_recv,35
110,1,CURRENT_icmp_sent,20
110,1,CURRENT_icmp_recv,54
50,1,CURRENT_icmp_sent,18
50,1,CURRENT_icmp_recv,59
129,1,CURRENT_icmp_sent,17
129,1,CURRENT_icmp_recv,24
81,1,CURRENT_icmp_sent,86
96,1,CURRENT_icmp_sent,31
96,1,CURRENT_icmp_recv,53
81,1,CURRENT_icmp_recv,116
62,1,CURRENT_icmp_sent,31
117,1,CURRENT_icmp_sent,29
52,1,CURRENT_icmp_sent,15
62,1,CURRENT_icmp_recv,68
117,1,CURRENT_icmp_recv,58
52,1,CURRENT_icmp_recv,37
100,1,CURRENT_icmp_sent,17
100,1,CURRENT_icmp_recv,43
203,1,CURRENT_icmp_sent,98
203,1,CURRENT_icmp_recv,159
124,1,CURRENT_icmp_sent,17
30,1,CURRENT_icmp_sent,32
124,1,CURRENT_icmp_recv,43
30,1,CURRENT_icmp_recv,52
106,1,CURRENT_icmp_sent,27
57,1,CURRENT_icmp_sent,21
108,1,CURRENT_icmp_sent,19
57,1,CURRENT_icmp_recv,52
106,1,CURRENT_icmp_recv,61
108,1,CURRENT_icmp_recv,53
160,1,CURRENT_icmp_sent,16
160,1,CURRENT_icmp_recv,30
154,1,CURRENT_icmp_sent,15
154,1,CURRENT_icmp_recv,46
97,1,CURRENT_icmp_sent,20
97,1,CURRENT_icmp_recv,53
105,1,CURRENT_icmp_sent,22
105,1,CURRENT_icmp_recv,45
13,1,CURRENT_icmp_sent,17
13,1,CURRENT_icmp_recv,60
91,1,CURRENT_icmp_sent,24
91,1,CURRENT_icmp_recv,71
158,1,CURRENT_icmp_sent,41
158,1,CURRENT_icmp_recv,71
33,1,CURRENT_icmp_sent,43
33,1,CURRENT_icmp_recv,78
192,1,CURRENT_icmp_sent,13
140,1,CURRENT_icmp_sent,14
192,1,CURRENT_icmp_recv,16
142,1,CURRENT_icmp_sent,16
140,1,CURRENT_icmp_recv,54
142,1,CURRENT_icmp_recv,16
90,1,CURRENT_icmp_sent,13
56,1,CURRENT_icmp_sent,23
90,1,CURRENT_icmp_recv,42
56,1,CURRENT_icmp_recv,42
46,1,CURRENT_icmp_sent,29
46,1,CURRENT_icmp_recv,60
37,1,CURRENT_icmp_sent,35
37,1,CURRENT_icmp_recv,63
47,1,CURRENT_icmp_sent,65
47,1,CURRENT_icmp_recv,104
74,1,CURRENT_icmp_sent,66
135,1,CURRENT_icmp_sent,19
74,1,CURRENT_icmp_recv,106
152,1,CURRENT_icmp_sent,13
135,1,CURRENT_icmp_recv,49
152,1,CURRENT_icmp_recv,37
2,1,CURRENT_icmp_sent,90
32,1,CURRENT_icmp_sent,27
2,1,CURRENT_icmp_recv,117
32,1,CURRENT_icmp_recv,59
83,1,CURRENT_icmp_sent,26
8,1,CURRENT_icmp_sent,16
83,1,CURRENT_icmp_recv,59
8,1,CURRENT_icmp_recv,47
79,1,CURRENT_icmp_sent,39
197,1,CURRENT_icmp_sent,13
133,1,CURRENT_icmp_sent,11
79,1,CURRENT_icmp_recv,63
112,1,CURRENT_icmp_sent,16
197,1,CURRENT_icmp_recv,25
133,1,CURRENT_icmp_recv,26
88,1,CURRENT_icmp_sent,33
112,1,CURRENT_icmp_recv,45
88,1,CURRENT_icmp_recv,57
67,1,CURRENT_icmp_sent,18
67,1,CURRENT_icmp_recv,52
111,1,CURRENT_icmp_sent,20
111,1,CURRENT_icmp_recv,44
70,1,CURRENT_icmp_sent,17
70,1,CURRENT_icmp_recv,39
119,1,CURRENT_icmp_sent,31
134,1,CURRENT_icmp_sent,19
119,1,CURRENT_icmp_recv,56
196,1,CURRENT_icmp_sent,19
134,1,CURRENT_icmp_recv,30
196,1,CURRENT_icmp_recv,43
98,1,CURRENT_icmp_sent,32
98,1,CURRENT_icmp_recv,70
139,1,CURRENT_icmp_sent,13
139,1,CURRENT_icmp_recv,8
176,1,CURRENT_icmp_sent,19
176,1,CURRENT_icmp_recv,40
20,1,CURRENT_icmp_sent,17
65,1,CURRENT_icmp_sent,14
20,1,CURRENT_icmp_recv,44
65,1,CURRENT_icmp_recv,35
4,1,CURRENT_icmp_sent,11
174,1,CURRENT_icmp_sent,14
4,1,CURRENT_icmp_recv,14
174,1,CURRENT_icmp_recv,31
35,1,CURRENT_icmp_sent,37
147,1,CURRENT_icmp_sent,24
35,1,CURRENT_icmp_recv,60
147,1,CURRENT_icmp_recv,53
166,1,CURRENT_icmp_sent,13
166,1,CURRENT_icmp_recv,36
170,1,CURRENT_icmp_sent,36
29,1,CURRENT_icmp_sent,87
170,1,CURRENT_icmp_recv,60
29,1,CURRENT_icmp_recv,99
43,1,CURRENT_icmp_sent,19
68,1,CURRENT_icmp_sent,23
43,1,CURRENT_icmp_recv,49
150,1,CURRENT_icmp_sent,18
66,1,CURRENT_icmp_sent,13
68,1,CURRENT_icmp_recv,51
150,1,CURRENT_icmp_recv,37
66,1,CURRENT_icmp_recv,22
42,1,CURRENT_icmp_sent,16
49,1,CURRENT_icmp_sent,33
55,1,CURRENT_icmp_sent,18
42,1,CURRENT_icmp_recv,36
49,1,CURRENT_icmp_recv,59
164,1,CURRENT_icmp_sent,21
55,1,CURRENT_icmp_recv,52
9,1,CURRENT_icmp_sent,68
164,1,CURRENT_icmp_recv,40
9,1,CURRENT_icmp_recv,99
130,1,CURRENT_icmp_sent,17
130,1,CURRENT_icmp_recv,37
63,1,CURRENT_icmp_sent,14
63,1,CURRENT_icmp_recv,49
181,1,CURRENT_icmp_sent,15
16,1,CURRENT_icmp_sent,17
181,1,CURRENT_icmp_recv,37
16,1,CURRENT_icmp_recv,37
103,1,CURRENT_icmp_sent,15
103,1,CURRENT_icmp_recv,49
17,1,CURRENT_icmp_sent,16
17,1,CURRENT_icmp_recv,49
48,1,CURRENT_icmp_sent,28
27,1,CURRENT_icmp_sent,23
48,1,CURRENT_icmp_recv,51
27,1,CURRENT_icmp_recv,53
80,1,CURRENT_icmp_sent,16
80,1,CURRENT_icmp_recv,28
18,1,CURRENT_icmp_sent,25
39,1,CURRENT_icmp_sent,44
22,1,CURRENT_icmp_sent,27
18,1,CURRENT_icmp_recv,38
39,1,CURRENT_icmp_recv,51
22,1,CURRENT_icmp_recv,57
64,1,CURRENT_icmp_sent,30
60,1,CURRENT_icmp_sent,18
64,1,CURRENT_icmp_recv,65
60,1,CURRENT_icmp_recv,50
54,1,CURRENT_icmp_sent,14
54,1,CURRENT_icmp_recv,31
156,1,CURRENT_icmp_sent,11
144,1,CURRENT_icmp_sent,14
156,1,CURRENT_icmp_recv,30
144,1,CURRENT_icmp_recv,35
193,1,CURRENT_icmp_sent,32
101,1,CURRENT_icmp_sent,17
193,1,CURRENT_icmp_recv,65
101,1,CURRENT_icmp_recv,57
191,1,CURRENT_icmp_sent,18
191,1,CURRENT_icmp_recv,44
121,1,CURRENT_icmp_sent,17
121,1,CURRENT_icmp_recv,44
179,1,CURRENT_icmp_sent,86
179,1,CURRENT_icmp_recv,174
76,1,CURRENT_icmp_sent,83
76,1,CURRENT_icmp_recv,117
12,1,CURRENT_icmp_sent,14
12,1,CURRENT_icmp_recv,29
120,1,CURRENT_icmp_sent,17
120,1,CURRENT_icmp_recv,53
186,1,CURRENT_icmp_sent,19
186,1,CURRENT_icmp_recv,16
73,1,CURRENT_icmp_sent,31
73,1,CURRENT_icmp_recv,55
115,1,CURRENT_icmp_sent,14
115,1,CURRENT_icmp_recv,40
14,1,CURRENT_icmp_sent,29
14,1,CURRENT_icmp_recv,59
178,1,CURRENT_icmp_sent,13
178,1,CURRENT_icmp_recv,14
138,1,CURRENT_icmp_sent,18
138,1,CURRENT_icmp_recv,38
95,1,CURRENT_icmp_sent,22
95,1,CURRENT_icmp_recv,49
187,1,CURRENT_icmp_sent,16
187,1,CURRENT_icmp_recv,37
51,1,CURRENT_icmp_sent,19
51,1,CURRENT_icmp_recv,29
126,1,CURRENT_icmp_sent,14
126,1,CURRENT_icmp_recv,24
118,1,CURRENT_icmp_sent,15
118,1,CURRENT_icmp_recv,37
157,1,CURRENT_icmp_sent,29
31,1,CURRENT_icmp_sent,12
157,1,CURRENT_icmp_recv,51
77,1,CURRENT_icmp_sent,40
31,1,CURRENT_icmp_recv,32
77,1,CURRENT_icmp_recv,72
163,1,CURRENT_icmp_sent,15
113,1,CURRENT_icmp_sent,27
163,1,CURRENT_icmp_recv,32
113,1,CURRENT_icmp_recv,65
168,1,CURRENT_icmp_sent,16
168,1,CURRENT_icmp_recv,15
131,1,CURRENT_icmp_sent,13
131,1,CURRENT_icmp_recv,40
175,1,CURRENT_icmp_sent,21
148,1,CURRENT_icmp_sent,16
175,1,CURRENT_icmp_recv,41
148,1,CURRENT_icmp_recv,45
149,1,CURRENT_icmp_sent,17
149,1,CURRENT_icmp_recv,40
24,1,CURRENT_icmp_sent,48
24,1,CURRENT_icmp_recv,74
53,1,CURRENT_icmp_sent,13
53,1,CURRENT_icmp_recv,47
28,1,CURRENT_icmp_sent,21
45,1,CURRENT_icmp_sent,30
28,1,CURRENT_icmp_recv,58
45,1,CURRENT_icmp_recv,34
58,1,CURRENT_icmp_sent,29
58,1,CURRENT_icmp_recv,74
169,1,CURRENT_icmp_sent,26
169,1,CURRENT_icmp_recv,75
136,1,CURRENT_icmp_sent,12
198,1,CURRENT_icmp_sent,23
136,1,CURRENT_icmp_recv,39
198,1,CURRENT_icmp_recv,18
11,1,CURRENT_icmp_sent,16
84,1,CURRENT_icmp_sent,21
11,1,CURRENT_icmp_recv,45
84,1,CURRENT_icmp_recv,46
189,1,CURRENT_icmp_sent,16
189,1,CURRENT_icmp_recv,46
44,1,CURRENT_icmp_sent,31
44,1,CURRENT_icmp_recv,57
141,1,CURRENT_icmp_sent,102
114,1,CURRENT_icmp_sent,24
141,1,CURRENT_icmp_recv,196
21,1,CURRENT_icmp_sent,97
114,1,CURRENT_icmp_recv,46
6,1,CURRENT_icmp_sent,58
151,1,CURRENT_icmp_sent,12
21,1,CURRENT_icmp_recv,119
6,1,CURRENT_icmp_recv,103
151,1,CURRENT_icmp_recv,22
107,1,CURRENT_icmp_sent,27
199,1,CURRENT_icmp_sent,17
107,1,CURRENT_icmp_recv,46
199,1,CURRENT_icmp_recv,38
82,1,CURRENT_icmp_sent,12
82,1,CURRENT_icmp_recv,42
184,1,CURRENT_icmp_sent,14
184,1,CURRENT_icmp_recv,26
171,1,CURRENT_icmp_sent,19
127,1,CURRENT_icmp_sent,13
171,1,CURRENT_icmp_recv,24
127,1,CURRENT_icmp_recv,25
173,1,CURRENT_icmp_sent,17
173,1,CURRENT_icmp_recv,44
92,1,CURRENT_icmp_sent,23
92,1,CURRENT_icmp_recv,66
194,1,CURRENT_icmp_sent,15
194,1,CURRENT_icmp_recv,48
40,1,CURRENT_icmp_sent,31
40,1,CURRENT_icmp_recv,60
104,1,CURRENT_icmp_sent,26
104,1,CURRENT_icmp_recv,67
128,1,CURRENT_icmp_sent,81
143,1,CURRENT_icmp_sent,32
128,1,CURRENT_icmp_recv,111
143,1,CURRENT_icmp_recv,51
89,1,CURRENT_icmp_sent,36
99,1,CURRENT_icmp_sent,17
89,1,CURRENT_icmp_recv,62
99,1,CURRENT_icmp_recv,31
137,1,CURRENT_icmp_sent,11
161,1,CURRENT_icmp_sent,16
137,1,CURRENT_icmp_recv,15
161,1,CURRENT_icmp_recv,37
19,1,CURRENT_icmp_sent,45
19,1,CURRENT_icmp_recv,92
195,1,CURRENT_icmp_sent,15
94,1,CURRENT_icmp_sent,13
195,1,CURRENT_icmp_recv,23
94,1,CURRENT_icmp_recv,33
75,1,CURRENT_icmp_sent,29
75,1,CURRENT_icmp_recv,65
167,1,CURRENT_icmp_sent,21
146,1,CURRENT_icmp_sent,12
167,1,CURRENT_icmp_recv,31
146,1,CURRENT_icmp_recv,25
201,1,CURRENT_icmp_sent,15
132,1,CURRENT_icmp_sent,12
201,1,CURRENT_icmp_recv,32
132,1,CURRENT_icmp_recv,15
85,1,CURRENT_icmp_sent,79
85,1,CURRENT_icmp_recv,129
109,1,CURRENT_icmp_sent,19
125,1,CURRENT_icmp_sent,74
109,1,CURRENT_icmp_recv,33
125,1,CURRENT_icmp_recv,110
165,1,CURRENT_icmp_sent,15
15,1,CURRENT_icmp_sent,13
165,1,CURRENT_icmp_recv,34
15,1,CURRENT_icmp_recv,27
61,1,CURRENT_icmp_sent,23
61,1,CURRENT_icmp_recv,59
38,1,CURRENT_icmp_sent,102
38,1,CURRENT_icmp_recv,139
86,1,CURRENT_icmp_sent,30
86,1,CURRENT_icmp_recv,77
116,1,CURRENT_icmp_sent,16
3,1,CURRENT_icmp_sent,94
116,1,CURRENT_icmp_recv,44
3,1,CURRENT_icmp_recv,142
182,1,CURRENT_icmp_sent,17
182,1,CURRENT_icmp_recv,48
23,1,CURRENT_icmp_sent,83
23,1,CURRENT_icmp_recv,113
102,1,CURRENT_icmp_sent,12
102,1,CURRENT_icmp_recv,42
