NODE,TIME,DATA TYPE,VALUES
"8	R",4,TOTAL_icmp_sent,26
"8	R",4,TOTAL_icmp_recv,122
"20	R",4,TOTAL_icmp_sent,30
"20	R",4,TOTAL_icmp_recv,84
"4	R",4,TOTAL_icmp_sent,29
"4	R",4,TOTAL_icmp_recv,52
"9	R",4,TOTAL_icmp_sent,32
"9	R",4,TOTAL_icmp_recv,81
"16	R",4,TOTAL_icmp_sent,30
"16	R",4,TOTAL_icmp_recv,96
"17	R",4,TOTAL_icmp_sent,29
"17	R",4,TOTAL_icmp_recv,111
"22	R",4,TOTAL_icmp_sent,27
"18	R",4,TOTAL_icmp_sent,25
"22	R",4,TOTAL_icmp_recv,60
"18	R",4,TOTAL_icmp_recv,59
"12	R",4,TOTAL_icmp_sent,30
"12	R",4,TOTAL_icmp_recv,99
"14	R",4,TOTAL_icmp_sent,68
"14	R",4,TOTAL_icmp_recv,192
"11	R",4,TOTAL_icmp_sent,29
"11	R",4,TOTAL_icmp_recv,30
"6	R",4,TOTAL_icmp_sent,54
"6	R",4,TOTAL_icmp_recv,86
"21	R",4,TOTAL_icmp_sent,63
"21	R",4,TOTAL_icmp_recv,115
"19	R",4,TOTAL_icmp_sent,27
"19	R",4,TOTAL_icmp_recv,81
"15	R",4,TOTAL_icmp_sent,30
"15	R",4,TOTAL_icmp_recv,76
"3	R",4,TOTAL_icmp_sent,50
"3	R",4,TOTAL_icmp_recv,80
"23	R",4,TOTAL_icmp_sent,28
"23	R",4,TOTAL_icmp_recv,30
"10	R",5,TOTAL_icmp_sent,72
"10	R",5,TOTAL_icmp_recv,138
"13	R",5,TOTAL_icmp_sent,29
"13	R",5,TOTAL_icmp_recv,127
"2	R",5,TOTAL_icmp_sent,29
"2	R",5,TOTAL_icmp_recv,47
"8	R",5,TOTAL_icmp_sent,29
"8	R",5,TOTAL_icmp_recv,126
"20	R",5,TOTAL_icmp_sent,33
"20	R",5,TOTAL_icmp_recv,89
"4	R",5,TOTAL_icmp_sent,34
"4	R",5,TOTAL_icmp_recv,57
"9	R",5,TOTAL_icmp_sent,35
"9	R",5,TOTAL_icmp_recv,86
"16	R",5,TOTAL_icmp_sent,34
"16	R",5,TOTAL_icmp_recv,98
"17	R",5,TOTAL_icmp_sent,32
"17	R",5,TOTAL_icmp_recv,116
"22	R",5,TOTAL_icmp_sent,30
"18	R",5,TOTAL_icmp_sent,29
"22	R",5,TOTAL_icmp_recv,61
"18	R",5,TOTAL_icmp_recv,63
"12	R",5,TOTAL_icmp_sent,34
"12	R",5,TOTAL_icmp_recv,103
"14	R",5,TOTAL_icmp_sent,81
"14	R",5,TOTAL_icmp_recv,208
"11	R",5,TOTAL_icmp_sent,32
"11	R",5,TOTAL_icmp_recv,30
"6	R",5,TOTAL_icmp_sent,58
"6	R",5,TOTAL_icmp_recv,88
"21	R",5,TOTAL_icmp_sent,69
"21	R",5,TOTAL_icmp_recv,123
"19	R",5,TOTAL_icmp_sent,31
"19	R",5,TOTAL_icmp_recv,84
"15	R",5,TOTAL_icmp_sent,33
"15	R",5,TOTAL_icmp_recv,80
"3	R",5,TOTAL_icmp_sent,57
"3	R",5,TOTAL_icmp_recv,83
"23	R",5,TOTAL_icmp_sent,32
"23	R",5,TOTAL_icmp_recv,33
"10	R",6,TOTAL_icmp_sent,79
"10	R",6,TOTAL_icmp_recv,151
"13	R",6,TOTAL_icmp_sent,34
"13	R",6,TOTAL_icmp_recv,134
"2	R",6,TOTAL_icmp_sent,34
"2	R",6,TOTAL_icmp_recv,53
"8	R",6,TOTAL_icmp_sent,31
"8	R",6,TOTAL_icmp_recv,134
"20	R",6,TOTAL_icmp_sent,36
"20	R",6,TOTAL_icmp_recv,94
"4	R",6,TOTAL_icmp_sent,39
"4	R",6,TOTAL_icmp_recv,64
"9	R",6,TOTAL_icmp_sent,40
"9	R",6,TOTAL_icmp_recv,93
"16	R",6,TOTAL_icmp_sent,38
"16	R",6,TOTAL_icmp_recv,107
"17	R",6,TOTAL_icmp_sent,35
"17	R",6,TOTAL_icmp_recv,125
"22	R",6,TOTAL_icmp_sent,34
"18	R",6,TOTAL_icmp_sent,32
"22	R",6,TOTAL_icmp_recv,65
"18	R",6,TOTAL_icmp_recv,67
"12	R",6,TOTAL_icmp_sent,41
"12	R",6,TOTAL_icmp_recv,109
"14	R",6,TOTAL_icmp_sent,97
"14	R",6,TOTAL_icmp_recv,227
"11	R",6,TOTAL_icmp_sent,36
"11	R",6,TOTAL_icmp_recv,32
"6	R",6,TOTAL_icmp_sent,62
"6	R",6,TOTAL_icmp_recv,91
"21	R",6,TOTAL_icmp_sent,76
"21	R",6,TOTAL_icmp_recv,131
"19	R",6,TOTAL_icmp_sent,35
"19	R",6,TOTAL_icmp_recv,88
"15	R",6,TOTAL_icmp_sent,38
"15	R",6,TOTAL_icmp_recv,87
"3	R",6,TOTAL_icmp_sent,64
"3	R",6,TOTAL_icmp_recv,87
"23	R",6,TOTAL_icmp_sent,36
"23	R",6,TOTAL_icmp_recv,36
"10	R",7,TOTAL_icmp_sent,88
"10	R",7,TOTAL_icmp_recv,164
"13	R",7,TOTAL_icmp_sent,37
"13	R",7,TOTAL_icmp_recv,144
"2	R",7,TOTAL_icmp_sent,39
"2	R",7,TOTAL_icmp_recv,54
"8	R",7,TOTAL_icmp_sent,36
"8	R",7,TOTAL_icmp_recv,142
"20	R",7,TOTAL_icmp_sent,41
"20	R",7,TOTAL_icmp_recv,102
"4	R",7,TOTAL_icmp_sent,41
"4	R",7,TOTAL_icmp_recv,68
"9	R",7,TOTAL_icmp_sent,43
"9	R",7,TOTAL_icmp_recv,98
"16	R",7,TOTAL_icmp_sent,43
"16	R",7,TOTAL_icmp_recv,118
"17	R",7,TOTAL_icmp_sent,38
"17	R",7,TOTAL_icmp_recv,133
"22	R",7,TOTAL_icmp_sent,37
"18	R",7,TOTAL_icmp_sent,37
