NODE,TIME,DATA TYPE,VALUES
8 R,14,CURRENT_icmp_sent,2
8 R,14,CURRENT_icmp_recv,6
4 R,14,CURRENT_icmp_sent,5
4 R,14,CURRENT_icmp_recv,3
9 R,14,CURRENT_icmp_sent,4
9 R,14,CURRENT_icmp_recv,5
12 R,14,CURRENT_icmp_sent,4
12 R,14,CURRENT_icmp_recv,8
11 R,14,CURRENT_icmp_sent,4
11 R,14,CURRENT_icmp_recv,3
6 R,14,CURRENT_icmp_sent,8
6 R,14,CURRENT_icmp_recv,5
3 R,14,CURRENT_icmp_sent,6
3 R,14,CURRENT_icmp_recv,6
10 R,15,CURRENT_icmp_sent,6
10 R,15,CURRENT_icmp_recv,5
13 R,15,CURRENT_icmp_sent,6
13 R,15,CURRENT_icmp_recv,5
2 R,15,CURRENT_icmp_sent,4
2 R,15,CURRENT_icmp_recv,4
8 R,15,CURRENT_icmp_sent,3
8 R,15,CURRENT_icmp_recv,2
4 R,15,CURRENT_icmp_sent,5
4 R,15,CURRENT_icmp_recv,2
9 R,15,CURRENT_icmp_sent,3
9 R,15,CURRENT_icmp_recv,4
12 R,15,CURRENT_icmp_sent,3
12 R,15,CURRENT_icmp_recv,4
11 R,15,CURRENT_icmp_sent,4
11 R,15,CURRENT_icmp_recv,2
6 R,15,CURRENT_icmp_sent,6
6 R,15,CURRENT_icmp_recv,3
3 R,15,CURRENT_icmp_sent,5
3 R,15,CURRENT_icmp_recv,5
10 R,16,CURRENT_icmp_sent,6
10 R,16,CURRENT_icmp_recv,4
13 R,16,CURRENT_icmp_sent,7
13 R,16,CURRENT_icmp_recv,4
2 R,16,CURRENT_icmp_sent,3
2 R,16,CURRENT_icmp_recv,3
8 R,16,CURRENT_icmp_sent,4
8 R,16,CURRENT_icmp_recv,7
4 R,16,CURRENT_icmp_sent,5
4 R,16,CURRENT_icmp_recv,3
9 R,16,CURRENT_icmp_sent,2
9 R,16,CURRENT_icmp_recv,5
12 R,16,CURRENT_icmp_sent,2
12 R,16,CURRENT_icmp_recv,7
11 R,16,CURRENT_icmp_sent,4
11 R,16,CURRENT_icmp_recv,3
6 R,16,CURRENT_icmp_sent,6
6 R,16,CURRENT_icmp_recv,3
3 R,16,CURRENT_icmp_sent,5
3 R,16,CURRENT_icmp_recv,4
10 R,17,CURRENT_icmp_sent,7
10 R,17,CURRENT_icmp_recv,6
13 R,17,CURRENT_icmp_sent,10
13 R,17,CURRENT_icmp_recv,7
2 R,17,CURRENT_icmp_sent,4
2 R,17,CURRENT_icmp_recv,3
8 R,17,CURRENT_icmp_sent,4
8 R,17,CURRENT_icmp_recv,6
4 R,17,CURRENT_icmp_sent,5
4 R,17,CURRENT_icmp_recv,6
9 R,17,CURRENT_icmp_sent,4
9 R,17,CURRENT_icmp_recv,5
12 R,17,CURRENT_icmp_sent,4
12 R,17,CURRENT_icmp_recv,8
11 R,17,CURRENT_icmp_sent,5
11 R,17,CURRENT_icmp_recv,2
6 R,17,CURRENT_icmp_sent,8
6 R,17,CURRENT_icmp_recv,7
3 R,17,CURRENT_icmp_sent,8
3 R,17,CURRENT_icmp_recv,6
10 R,18,CURRENT_icmp_sent,8
