NODE,TIME,DATA TYPE,VALUES
78,1,CURRENT_icmp_sent,17
78,1,CURRENT_icmp_recv,37
71,1,CURRENT_icmp_sent,14
71,1,CURRENT_icmp_recv,29
41,1,CURRENT_icmp_sent,19
36,1,CURRENT_icmp_sent,15
41,1,CURRENT_icmp_recv,44
145,1,CURRENT_icmp_sent,13
36,1,CURRENT_icmp_recv,31
145,1,CURRENT_icmp_recv,50
26,1,CURRENT_icmp_sent,14
26,1,CURRENT_icmp_recv,26
72,1,CURRENT_icmp_sent,24
72,1,CURRENT_icmp_recv,45
87,1,CURRENT_icmp_sent,16
87,1,CURRENT_icmp_recv,41
10,1,CURRENT_icmp_sent,17
10,1,CURRENT_icmp_recv,34
69,1,CURRENT_icmp_sent,20
69,1,CURRENT_icmp_recv,41
110,1,CURRENT_icmp_sent,15
110,1,CURRENT_icmp_recv,47
50,1,CURRENT_icmp_sent,17
50,1,CURRENT_icmp_recv,55
129,1,CURRENT_icmp_sent,23
62,1,CURRENT_icmp_sent,17
129,1,CURRENT_icmp_recv,41
62,1,CURRENT_icmp_recv,61
81,1,CURRENT_icmp_sent,14
81,1,CURRENT_icmp_recv,52
96,1,CURRENT_icmp_sent,14
96,1,CURRENT_icmp_recv,31
117,1,CURRENT_icmp_sent,20
117,1,CURRENT_icmp_recv,46
100,1,CURRENT_icmp_sent,16
100,1,CURRENT_icmp_recv,24
124,1,CURRENT_icmp_sent,18
30,1,CURRENT_icmp_sent,21
52,1,CURRENT_icmp_sent,110
124,1,CURRENT_icmp_recv,52
106,1,CURRENT_icmp_sent,16
30,1,CURRENT_icmp_recv,42
108,1,CURRENT_icmp_sent,27
57,1,CURRENT_icmp_sent,18
52,1,CURRENT_icmp_recv,235
106,1,CURRENT_icmp_recv,14
108,1,CURRENT_icmp_recv,79
57,1,CURRENT_icmp_recv,50
97,1,CURRENT_icmp_sent,19
97,1,CURRENT_icmp_recv,41
105,1,CURRENT_icmp_sent,15
105,1,CURRENT_icmp_recv,51
91,1,CURRENT_icmp_sent,15
13,1,CURRENT_icmp_sent,43
91,1,CURRENT_icmp_recv,39
13,1,CURRENT_icmp_recv,84
33,1,CURRENT_icmp_sent,37
33,1,CURRENT_icmp_recv,64
140,1,CURRENT_icmp_sent,17
140,1,CURRENT_icmp_recv,24
142,1,CURRENT_icmp_sent,16
142,1,CURRENT_icmp_recv,66
37,1,CURRENT_icmp_sent,28
90,1,CURRENT_icmp_sent,16
37,1,CURRENT_icmp_recv,60
56,1,CURRENT_icmp_sent,13
90,1,CURRENT_icmp_recv,42
47,1,CURRENT_icmp_sent,20
56,1,CURRENT_icmp_recv,40
47,1,CURRENT_icmp_recv,59
46,1,CURRENT_icmp_sent,25
46,1,CURRENT_icmp_recv,57
74,1,CURRENT_icmp_sent,25
74,1,CURRENT_icmp_recv,51
135,1,CURRENT_icmp_sent,13
152,1,CURRENT_icmp_sent,14
135,1,CURRENT_icmp_recv,24
152,1,CURRENT_icmp_recv,21
32,1,CURRENT_icmp_sent,23
32,1,CURRENT_icmp_recv,62
8,1,CURRENT_icmp_sent,16
83,1,CURRENT_icmp_sent,22
8,1,CURRENT_icmp_recv,39
83,1,CURRENT_icmp_recv,51
2,1,CURRENT_icmp_sent,80
2,1,CURRENT_icmp_recv,117
79,1,CURRENT_icmp_sent,33
79,1,CURRENT_icmp_recv,58
133,1,CURRENT_icmp_sent,12
112,1,CURRENT_icmp_sent,17
133,1,CURRENT_icmp_recv,30
88,1,CURRENT_icmp_sent,16
112,1,CURRENT_icmp_recv,47
88,1,CURRENT_icmp_recv,28
67,1,CURRENT_icmp_sent,17
67,1,CURRENT_icmp_recv,34
111,1,CURRENT_icmp_sent,24
111,1,CURRENT_icmp_recv,24
70,1,CURRENT_icmp_sent,18
70,1,CURRENT_icmp_recv,45
119,1,CURRENT_icmp_sent,18
119,1,CURRENT_icmp_recv,49
134,1,CURRENT_icmp_sent,18
134,1,CURRENT_icmp_recv,38
98,1,CURRENT_icmp_sent,26
98,1,CURRENT_icmp_recv,14
20,1,CURRENT_icmp_sent,15
20,1,CURRENT_icmp_recv,44
139,1,CURRENT_icmp_sent,40
65,1,CURRENT_icmp_sent,37
139,1,CURRENT_icmp_recv,98
65,1,CURRENT_icmp_recv,65
4,1,CURRENT_icmp_sent,43
4,1,CURRENT_icmp_recv,66
35,1,CURRENT_icmp_sent,23
35,1,CURRENT_icmp_recv,59
147,1,CURRENT_icmp_sent,14
147,1,CURRENT_icmp_recv,31
43,1,CURRENT_icmp_sent,15
43,1,CURRENT_icmp_recv,37
66,1,CURRENT_icmp_sent,85
66,1,CURRENT_icmp_recv,118
68,1,CURRENT_icmp_sent,85
150,1,CURRENT_icmp_sent,41
29,1,CURRENT_icmp_sent,65
68,1,CURRENT_icmp_recv,120
9,1,CURRENT_icmp_sent,16
150,1,CURRENT_icmp_recv,90
29,1,CURRENT_icmp_recv,89
9,1,CURRENT_icmp_recv,37
49,1,CURRENT_icmp_sent,17
42,1,CURRENT_icmp_sent,15
49,1,CURRENT_icmp_recv,48
42,1,CURRENT_icmp_recv,39
55,1,CURRENT_icmp_sent,13
55,1,CURRENT_icmp_recv,26
130,1,CURRENT_icmp_sent,19
130,1,CURRENT_icmp_recv,51
63,1,CURRENT_icmp_sent,18
63,1,CURRENT_icmp_recv,40
16,1,CURRENT_icmp_sent,17
16,1,CURRENT_icmp_recv,38
103,1,CURRENT_icmp_sent,22
103,1,CURRENT_icmp_recv,38
17,1,CURRENT_icmp_sent,34
17,1,CURRENT_icmp_recv,70
27,1,CURRENT_icmp_sent,97
18,1,CURRENT_icmp_sent,13
27,1,CURRENT_icmp_recv,142
22,1,CURRENT_icmp_sent,27
48,1,CURRENT_icmp_sent,32
18,1,CURRENT_icmp_recv,24
80,1,CURRENT_icmp_sent,71
22,1,CURRENT_icmp_recv,56
48,1,CURRENT_icmp_recv,47
80,1,CURRENT_icmp_recv,111
39,1,CURRENT_icmp_sent,44
39,1,CURRENT_icmp_recv,68
60,1,CURRENT_icmp_sent,16
60,1,CURRENT_icmp_recv,38
64,1,CURRENT_icmp_sent,79
64,1,CURRENT_icmp_recv,109
144,1,CURRENT_icmp_sent,24
144,1,CURRENT_icmp_recv,22
101,1,CURRENT_icmp_sent,32
101,1,CURRENT_icmp_recv,55
54,1,CURRENT_icmp_sent,37
54,1,CURRENT_icmp_recv,59
121,1,CURRENT_icmp_sent,57
121,1,CURRENT_icmp_recv,106
12,1,CURRENT_icmp_sent,16
76,1,CURRENT_icmp_sent,60
12,1,CURRENT_icmp_recv,26
76,1,CURRENT_icmp_recv,91
120,1,CURRENT_icmp_sent,16
120,1,CURRENT_icmp_recv,21
73,1,CURRENT_icmp_sent,26
73,1,CURRENT_icmp_recv,45
115,1,CURRENT_icmp_sent,29
115,1,CURRENT_icmp_recv,58
14,1,CURRENT_icmp_sent,36
14,1,CURRENT_icmp_recv,77
138,1,CURRENT_icmp_sent,16
138,1,CURRENT_icmp_recv,48
95,1,CURRENT_icmp_sent,14
95,1,CURRENT_icmp_recv,43
51,1,CURRENT_icmp_sent,16
51,1,CURRENT_icmp_recv,42
126,1,CURRENT_icmp_sent,18
118,1,CURRENT_icmp_sent,12
126,1,CURRENT_icmp_recv,23
118,1,CURRENT_icmp_recv,38
77,1,CURRENT_icmp_sent,37
31,1,CURRENT_icmp_sent,14
77,1,CURRENT_icmp_recv,69
31,1,CURRENT_icmp_recv,33
113,1,CURRENT_icmp_sent,28
113,1,CURRENT_icmp_recv,66
131,1,CURRENT_icmp_sent,13
24,1,CURRENT_icmp_sent,43
131,1,CURRENT_icmp_recv,16
148,1,CURRENT_icmp_sent,24
24,1,CURRENT_icmp_recv,74
148,1,CURRENT_icmp_recv,57
149,1,CURRENT_icmp_sent,19
149,1,CURRENT_icmp_recv,38
53,1,CURRENT_icmp_sent,13
53,1,CURRENT_icmp_recv,21
45,1,CURRENT_icmp_sent,12
45,1,CURRENT_icmp_recv,31
28,1,CURRENT_icmp_sent,18
58,1,CURRENT_icmp_sent,16
28,1,CURRENT_icmp_recv,56
58,1,CURRENT_icmp_recv,43
11,1,CURRENT_icmp_sent,14
136,1,CURRENT_icmp_sent,21
11,1,CURRENT_icmp_recv,39
136,1,CURRENT_icmp_recv,40
141,1,CURRENT_icmp_sent,23
141,1,CURRENT_icmp_recv,42
44,1,CURRENT_icmp_sent,15
44,1,CURRENT_icmp_recv,41
21,1,CURRENT_icmp_sent,67
21,1,CURRENT_icmp_recv,91
6,1,CURRENT_icmp_sent,34
114,1,CURRENT_icmp_sent,23
6,1,CURRENT_icmp_recv,80
114,1,CURRENT_icmp_recv,40
84,1,CURRENT_icmp_sent,55
84,1,CURRENT_icmp_recv,105
107,1,CURRENT_icmp_sent,20
107,1,CURRENT_icmp_recv,45
151,1,CURRENT_icmp_sent,35
151,1,CURRENT_icmp_recv,71
127,1,CURRENT_icmp_sent,15
127,1,CURRENT_icmp_recv,23
82,1,CURRENT_icmp_sent,26
82,1,CURRENT_icmp_recv,61
92,1,CURRENT_icmp_sent,53
92,1,CURRENT_icmp_recv,94
89,1,CURRENT_icmp_sent,30
